Feature,Low_Mean,Low_SD,Mod_Mean,Mod_SD,High_Mean,High_SD,p_L_vs_M,p_L_vs_H,p_M_vs_H
HRV_MeanNN,712.6955476916728,111.05672549854899,725.4261996174232,108.29196471094079,738.3764467718926,145.14348399041984,0.004935598258458906,9.502600928357197e-10,0.004112209774848941
HRV_SDNN,120.75171494531746,166.25693335506202,137.15175155349604,179.69919748285724,138.38761002835716,248.22393574204315,0.002024497196514874,0.0007847449565597797,0.9645459299091022
HRV_RMSSD,137.60445752978026,209.01571338409448,156.0899835260144,223.01445342467503,157.6367018046042,309.1498623535987,0.0024203413157308784,0.0008674748159217538,0.9577265805338163
HRV_SDSD,138.6262745530457,210.51782534956357,157.1929061422732,224.40908173564668,158.80162063012241,311.9168012640548,0.0025925423021840865,0.0009054275340107942,0.9552544170524762
HRV_CVNN,0.1560373501656283,0.22525093462159557,0.18160140523306895,0.25471623083622275,0.17505277043445336,0.27410493804051,2.8788912365129704e-09,1.518268208000606e-05,0.25635649289986273
HRV_CVSD,0.17726267046541663,0.29112789375046993,0.2073129846277474,0.3259166725731902,0.19990649267994742,0.35205859928590255,1.2917585445748614e-08,2.7428785774996634e-05,0.31301513099394873
HRV_MedianNN,684.9305681047116,119.0825055693041,693.8386762128198,125.9753272203204,705.9403508770394,131.3262480635789,0.018960480965279913,6.997239454520354e-10,0.0007211349434806946
HRV_MadNN,96.93822763182956,134.58918961173916,104.6958319561539,132.70309472592433,107.83444000000928,173.5326060384891,0.07207234103603066,0.005860759315262087,0.6475387979279703
HRV_MCVNN,0.1532352303700192,0.23403680756154596,0.17177788859076534,0.2526032354143396,0.1673185782883468,0.26448677208175425,2.0010823775784559e-07,0.00011771809929805865,0.39279804404215524
HRV_IQRNN,143.6766402146551,209.02454721710947,157.17033390834877,214.28262643360455,164.3298245613599,275.0882650904593,0.02937867414873685,0.0002941544740935331,0.3665925543803884
HRV_SDRMSSD,1.2967177184554062,0.434281294025294,1.2600221934391629,0.4036121918519671,1.2805954655082938,0.4184230134729604,0.04109522832950108,0.5363194522676258,0.36319750354746627
HRV_Prc20NN,616.4624766364561,160.52773552028964,618.8091433031228,181.34235667305896,627.0203508768091,177.31210934221215,0.6021166355214913,4.8989240125085765e-05,0.0022959071897239447
HRV_Prc80NN,797.8447259825901,182.48169799703211,814.5769782348424,161.7783464281052,836.8056140350641,259.42811453591725,0.046267658415048984,1.0897700297718416e-07,0.004616370655992075
HRV_pNN50,21.86747589694083,28.064326442071135,24.17078298636003,29.233312083273503,24.222634232425584,31.274383721935205,2.7500541177616356e-08,1.2797638726524951e-08,0.9907242994812163
HRV_pNN20,44.33612663830547,29.06826155951991,47.12688768597504,28.959066244396396,46.48289219127437,29.887786687743812,1.6405543590281013e-11,3.2720539933084325e-07,0.24580792144365382
HRV_MinNN,553.3745857243688,184.8186097126407,548.682693832477,203.47341335204564,557.70526315771,209.09589665236155,0.35081161831510965,0.40939401164685607,0.021706893677261085
HRV_MaxNN,1124.8628765803169,605.5525092247842,1219.5727864902267,744.0369286414684,1203.3543859649385,1104.7421813233807,0.001248237366171634,0.009786743033464385,0.8177991889954781
HRV_HTI,8.695361844799335,3.7007908015817668,9.162310482019066,4.2366444549186095,9.101795153520703,4.67219782158076,0.0021802598456180933,0.00938634299828256,0.8999227861584823
HRV_TINN,107.27667931626306,109.86655744247577,110.52836850545225,94.37164901729314,112.74671052631643,106.47771390774572,0.8198475602516206,0.5699468685593265,0.9115066869251844
HRV_LF,0.0342053726064355,0.016595715929012433,0.03320592831310686,0.016067911420861357,0.03207017249610587,0.01575785930565164,0.5024663989974926,0.04416575498908737,0.4102791332348378
HRV_HF,0.03810948023733329,0.03574142712741208,0.03968907453767111,0.034170463771638536,0.040472793788007715,0.03572780025656806,0.47658751503690067,0.19140726469478941,0.8327857184374196
HRV_VHF,0.007032699737566805,0.01058293556147428,0.006105936885343333,0.009362065783037714,0.005716461311944836,0.010176682184157817,0.07528237178345543,0.005687320632747461,0.630478817403433
HRV_TP,0.07935236104389487,0.04824268588444749,0.07900574819868057,0.045550529817073006,0.07825942759606147,0.047130110971808636,0.983479881154975,0.8473539535147652,0.9256432989886767
HRV_LFHF,1.961139247546942,1.9930767512239824,1.751846262135534,2.008001941331461,1.7684589870589311,2.1256744717734,0.052945345701762236,0.08232613739599459,0.9814150442936866
HRV_LFn,0.4950183230683446,0.20836199442354847,0.48022721618604863,0.1997919285319914,0.47773372342628395,0.21523254860226787,0.17238208816362854,0.09109951179720854,0.9508854955630942
HRV_HFn,0.4221503863835617,0.1981321586320647,0.4508098652292798,0.1888016670892529,0.4610917039795763,0.20022743797390777,0.0006262628289385175,1.5245192843682531e-06,0.37785672720216446
HRV_LnHF,-3.7392011212931875,1.0332943360827178,-3.6425232307028206,0.975649734251139,-3.6354373717722672,1.0005929626523786,0.048929144817026815,0.0310582062298298,0.9837075574411804
HRV_SD1,98.02357878702702,148.8585818653217,111.15216988756214,158.68118345512198,112.28970281092617,220.55848533982984,0.00259254230221051,0.0009054275340105722,0.955254417051568
HRV_SD2,136.71320429526955,183.31837001022694,155.14204453043735,200.00773248439432,156.5557952383591,271.26689914999065,0.004601177284622171,0.001987105785911325,0.9681529486018865
HRV_SD1SD2,0.5002909317780172,0.19945613094169318,0.5154638165269485,0.20330816234903354,0.513685828510474,0.22141236797598174,0.04380640555111803,0.08671078962153533,0.957408346484334
HRV_S,207961.93158515316,407727.94160081155,228647.8471585134,367857.85023257445,236664.54221389833,800929.8057254022,0.5532213305108518,0.3206882678111088,0.9147304757993524
