Feature,Low_Mean,Low_SD,Mod_Mean,Mod_SD,High_Mean,High_SD,p_L_vs_M,p_L_vs_H,p_M_vs_H
mouth_aperture_rms,0.01437718779146605,0.016403244521370604,0.012340470907048632,0.01188284216970249,0.016490830771971037,0.01981361293945415,0.0017685388332607799,0.0011395016937687519,5.0258797124058674e-11
mouth_aperture_mean,0.00966036736788125,0.012785688558720552,0.008061351719365508,0.00811679594106121,0.010848244614127148,0.013694006607612125,0.0010083070811598427,0.021769896683157985,1.7208008351587978e-09
mouth_aperture_std,0.01019168431312699,0.010729323143730743,0.009006594086260214,0.009028604230511826,0.011966912824844278,0.014699705092463393,0.01588055558693835,0.00011238412832015321,6.13264994342444e-11
pupil_dx_rms,0.0060426075855908624,0.002368399660441928,0.0057695983710497585,0.0015122514335884137,0.007604707242598431,0.022318443931978363,0.9126635598338009,0.05259659707990827,0.017358978556282323
pupil_dx_mean,-0.002318998149762189,0.0024529858751696147,-0.0022813743465679107,0.0026540787670668413,-0.002340365780388318,0.0035263378886686413,0.9221611626635604,0.9742981406184934,0.8198602233344034
pupil_dx_std,0.005067579607151954,0.002227448751031159,0.004727448087801708,0.0009925749064741889,0.006636850956035347,0.022226984916944584,0.8664280127939055,0.04957930701246249,0.011907629542148968
pupil_dy_rms,0.02323042020681268,0.005720034259312091,0.022475001561560275,0.005241996267366924,0.024168762269853095,0.02130662681332932,0.4508044543677685,0.29459525499703,0.019341675463874997
pupil_dy_mean,-0.018965255364497297,0.0064087608781709165,-0.018495116638328417,0.005966959049288039,-0.018486558973379395,0.007568257401102414,0.020245886554919212,0.017866302819394053,0.9986914073392744
pupil_dy_std,0.012663772758196412,0.0031937795891151697,0.0121947862418179,0.00249609660005005,0.014116866158506842,0.020973314785182353,0.7364664663152654,0.055365431746619564,0.0065339270579223285
pupil_metric_rms,0.04240685353407624,0.005463816344237217,0.04184977721731942,0.005165663194488604,0.04407852261099845,0.030029646671009966,0.8084209557911735,0.15047380813749212,0.03499816183562576
pupil_metric_mean,0.04147622352539675,0.0052992155448085415,0.041236309618226885,0.005066490415143955,0.04141458388041271,0.0072576277160008315,0.3862479564771424,0.9391520895085479,0.5916130770170246
pupil_metric_std,0.007753437814930076,0.0038203979373339905,0.0069917232378609445,0.001747183591718327,0.009816740947929262,0.03132200446230094,0.69588975988553,0.07244026320700703,0.007546237104847697
head_rotation_rad_vel_rms,0.12571388828967817,0.08396205780674687,0.11780385397753129,0.04763058811265853,0.12815202554492602,0.07630119251336989,0.010298043552276703,0.6437215764536652,0.00044237373084554665
head_rotation_rad_vel_mean,-3.87867792890375e-05,0.0009400142968851058,-5.297722161126948e-06,0.0017649653784729124,-5.3218933095957e-05,0.0014573181149934273,0.9028784273934563,0.9812536743677707,0.8118205545049748
head_rotation_rad_vel_std,0.12571032051320769,0.08396213900183169,0.11779455922740663,0.0476209119330855,0.1281448927086607,0.07629926636958977,0.010228485379230379,0.6445330163872207,0.00044079166378241386
head_rotation_rad_acc_rms,3.4846611753343333,2.8416320975444607,3.0967265586227826,1.3478687133787537,3.425509822837371,2.323791101679565,8.134543285465146e-05,0.798078048594123,0.0011178501944122399
head_rotation_rad_acc_mean,6.096272220981749e-05,0.002890523627535215,4.311658527906558e-05,0.002960326082739512,-7.674141480456018e-05,0.006542263584407069,0.9970296644886374,0.8382398556120428,0.8748489692648834
head_rotation_rad_acc_std,3.484659913742457,2.8416321767332455,3.0967252541581964,1.3478684643852894,3.4255068431321045,2.3237863012758906,8.134385195668337e-05,0.7980672603439427,0.0011179118241900765
head_tx_vel_rms,1.8941107880693755,5.654762686659707,1.3686836552160753,0.6518862364475698,1.6947273887475225,2.2619867603110304,0.006767278960343459,0.4823461076021537,0.14372285001753127
head_tx_vel_mean,-0.0016187735200932029,0.014635622296628714,-0.000634168788655326,0.016498772530670103,0.0003324196507006025,0.03310876659904345,0.7102334132022691,0.2634014310114072,0.7197992394012611
head_tx_vel_std,1.8940757903185412,5.654755249665113,1.3686070554721477,0.6518381588700645,1.6946489739597839,2.261803368144572,0.006761546663277218,0.4821884182566786,0.14372197711062296
