Feature,Low_Mean,Low_SD,Mod_Mean,Mod_SD,High_Mean,High_SD,p_L_vs_M,p_L_vs_H,p_M_vs_H
pct_missing,7.717272261029162,5.276186434309623,8.640419894597443,5.98273968657538,8.47935610526663,5.758739321267007,3.2532580899191643e-06,0.000152468805197703,0.6629057933639657
mean_vel,1.528717198463553,0.3765013674698427,1.6162632121893405,0.44579328525888984,1.659743309422775,0.43761255588947195,1.7703113641687196e-08,1.623157164232225e-11,0.009279226509627647
max_vel,304.3545848368158,199.49762134448818,323.25082973519596,188.6578076921766,340.64314481053884,210.63434660563883,0.059063728465219345,3.4424265716870295e-05,0.08530826078412856
mean_acc,-0.011634163304159518,0.17209542159687763,-0.007801778749890391,0.17795572678250815,0.003718140449706081,0.19037044067627165,0.9258726216979802,0.28974772739799504,0.4935691286696239
rms_disp,0.32183821647536653,0.021781674146220707,0.32450307887235347,0.01767593199552504,0.32581961661822484,0.020138403401019113,0.01277432596164374,6.38467398459408e-05,0.3310993222632632
fix_count,80.85808771589546,16.524353262219545,78.62354590576037,21.03923685735622,78.26022978367025,20.52768899679938,0.000903384113548622,7.52278594958744e-05,0.8227686126732172
fix_mean_dur,0.37827125531252825,0.06491356074010415,0.3552026972066481,0.0538565439240899,0.34554652565421873,0.045302624235647904,1.5296097721773094e-11,1.644995251126602e-11,0.00028387669231999535
fix_rate,1.3476576463644914,0.2754106376443793,1.3104147063781384,0.35066019685420946,1.304359258127733,0.3421340124741189,0.00090341931573934,7.522905714318906e-05,0.8227649791131565
blink_count,29.407462398812424,19.156422387434542,34.21603869784927,27.339888026769493,39.96945255101623,28.056434666009544,0.00013880424217704856,1.5949241927160074e-11,2.506460452078585e-06
blink_mean_dur,0.1217637336350141,0.0643976073956493,0.12009869742611942,0.0702062848706403,0.10512622469330705,0.05427280262070847,0.8199778840706609,6.042367051151132e-09,1.5693121202531302e-07
blink_rate,0.4901324860626171,0.31927849998880026,0.5702768443601082,0.45567201768642335,0.6661689188390988,0.46761600666925546,0.00013880187878223538,1.594901988255515e-11,2.506304291771677e-06
sac_count,2935.8212999319885,707.9436538052206,3005.9555815678173,686.7106526050676,3058.2855683700623,695.4783250458344,0.0003086022167919644,5.214384479756973e-11,0.009376129604812822
sac_mean_dur,0.00235481044326959,4.2431369871005284e-05,0.002358706558147804,5.250110689362063e-05,0.002366005793583359,4.9260238240783525e-05,0.012309864179207541,1.4804824033376462e-11,2.1770593605641153e-07
sac_rate,48.93118492708568,11.79926712337186,50.100110113046924,11.44537855099705,50.972293704881274,11.59152191701847,0.0003086082989862682,5.214428888677958e-11,0.009376054073412798
