source,participant_id,session_number,window_index,t_start_frame,t_end_frame,head_rotation_rad_mean,head_rotation_rad_mean_abs_vel,head_rotation_rad_mean_abs_acc,head_rotation_rad_rms,blink_aperture_mean,blink_aperture_mean_abs_vel,blink_aperture_mean_abs_acc,blink_aperture_rms,mouth_aperture_mean,mouth_aperture_mean_abs_vel,mouth_aperture_mean_abs_acc,mouth_aperture_rms,pupil_dx_mean,pupil_dx_mean_abs_vel,pupil_dx_mean_abs_acc,pupil_dx_rms,pupil_dy_mean,pupil_dy_mean_abs_vel,pupil_dy_mean_abs_acc,pupil_dy_rms,pupil_metric_mean,pupil_metric_mean_abs_vel,pupil_metric_mean_abs_acc,pupil_metric_rms,center_face_magnitude_mean,center_face_magnitude_mean_abs_vel,center_face_magnitude_mean_abs_acc,center_face_magnitude_rms,center_face_x_mean,center_face_x_mean_abs_vel,center_face_x_mean_abs_acc,center_face_x_rms,center_face_y_mean,center_face_y_mean_abs_vel,center_face_y_mean_abs_acc,center_face_y_rms
original,3101,1,0,0,3600,0.06060752833239338,5.183690083074934,194.03659052166833,0.9999999999999999,0.18043972981163867,3.4487129379765618,123.37699243928536,0.9999999999999999,0.002450488131250791,10.074092716922383,563.5652022085941,1.0,-0.0043114553002032326,10.009479162213342,392.3823650063381,1.0,-0.031473645362985865,7.834837299980617,309.9879184927548,0.9999999999999999,0.0493185669772207,8.723781578063798,353.69323734511175,1.0,0.2313490826146274,2.107584034385993,39.01138691677512,1.0,0.12196350978140995,2.203595136158137,36.62030910514767,1.0,0.18390488690025014,2.2559281535342826,45.55815659594839,1.0
original,3101,1,1,1800,5400,0.061216612038283165,4.247695024912179,152.30557250547113,1.0,0.17469004521485607,3.564547100403528,123.87058941123418,1.0,0.0028273463615959764,10.409725401129835,572.4804437714483,1.0,-0.004899395303166298,11.304685019023871,447.0805865273839,1.0,-0.029660469593669178,7.95139497385038,307.83311057724734,0.9999999999999999,0.04809567850915076,8.804518827081328,358.6850756149875,1.0,0.24796580234489196,2.0752292773168954,36.02839805110279,0.9999999999999999,0.1232755568611128,2.132958759490419,35.928342173748185,0.9999999999999999,0.19889708003481885,2.2862892841734275,43.44325129954078,0.9999999999999999
original,3101,1,2,3600,7200,0.0712190580044504,4.176163996760936,147.84942712016124,1.0,0.17821903759119478,3.677710989912105,125.62329650691788,1.0,0.00229989024755,13.551689121356986,763.4197415872885,0.9999999999999999,-0.005419682792864831,10.4614225967556,417.22789708420527,1.0,-0.03053994898640703,8.00075740682572,309.2915826763745,1.0,0.048528625103199455,8.748563164911193,355.1652980474214,1.0,0.2252617694647808,1.7458883786066173,29.002978513654647,0.9999999999999999,0.12402235792197244,1.9174868887038516,31.942283380620115,0.9999999999999999,0.16897540911378336,1.7880021833380297,33.92531640360231,1.0
original,3101,1,3,5400,9000,0.0766748613381302,5.49550052433808,205.53737393769066,1.0,0.1838251921363021,4.2501091031483815,145.09717566560292,0.9999999999999999,0.0019349339521253616,14.601156876854885,853.2542104372977,1.0,-0.004137054095670138,8.641945613005698,345.3476356800547,1.0,-0.03232356315066024,8.907463106793204,350.2795209898836,1.0,0.04914190176131902,9.988801873429487,405.34399386749556,1.0,0.16046603231434595,1.7446994011447265,30.031388807253535,1.0,0.09080875614192022,1.8545788675482562,29.422627275364523,1.0,0.11679687227526488,1.8414292303269169,36.455638233535716,1.0
original,3101,1,4,7200,10800,0.0703919108904707,6.017468290352042,218.0492377365791,1.0,0.1776466809260078,3.9774892300724662,136.72499565514798,0.9999999999999999,0.0024670105540763082,14.059344051170799,807.3014987966422,1.0,-0.002370784984207054,10.852064160871691,430.0786713535474,0.9999999999999999,-0.0317297896021416,8.691613273523188,341.10245889251075,1.0,0.04858075829211327,10.215389886845065,413.8342951766762,1.0,0.20101682874743748,1.7339019966989213,27.93543209552285,0.9999999999999999,0.12116446054597649,1.806316875971601,27.800349447955814,0.9999999999999999,0.14319918755490485,1.8645527576781107,33.34002621743167,1.0
original,3101,1,5,9000,12600,0.06244331942298842,4.435496918441923,159.90121917580424,1.0,0.17438269492126648,4.2370531101952205,146.798602955512,1.0,0.002946130149425297,9.982560462229705,550.4515635185943,1.0,-0.0034880117448347933,10.850801580787492,424.5797470380879,1.0,-0.030373846038726227,9.229265407262055,358.37216567505544,1.0,0.04801460872492192,10.234182206194243,408.87565416109123,0.9999999999999999,0.26085383089349234,1.7036978125680622,26.866130787876983,1.0,0.17494431538134392,1.8082950690728508,28.114936788145936,1.0,0.17103170204400392,1.7684134209055897,30.830724173546137,1.0
original,3101,1,6,10800,14400,0.062062364924030805,3.790150964173868,143.139412486914,1.0,0.176199093875427,4.176692058968371,143.2568631964035,0.9999999999999999,0.005166557530536745,5.2141977351027435,257.728692891631,1.0,-0.0036187539383073335,10.628910379828435,407.10212630981863,0.9999999999999999,-0.02872878165063244,9.340958390068703,354.8257777652374,1.0,0.04706799841123966,9.625919905631706,383.583911950814,0.9999999999999998,0.27524269199538537,1.3983308506731638,22.76668105574816,1.0,0.17340654076678175,1.5652694763092398,25.347181613088104,1.0,0.19154231259965007,1.5029139794535937,27.123108717602058,1.0
original,3101,1,7,12600,16200,0.06443967933768655,4.837300084374243,182.40797712339702,1.0,0.17864659188164211,3.5904159461026652,123.8739976977302,0.9999999999999999,0.004849977350185193,5.136449325903593,252.78781355077749,1.0,-0.004323024857945718,11.100891688225245,432.9757398584545,1.0,-0.028553479665370324,8.683652975883154,328.87464006677834,1.0,0.046884332023175296,9.6700030950636,390.85570270301446,1.0,0.23553584751114467,1.4371902589769543,23.605574251573568,1.0,0.1254654133251873,1.5319604952983588,25.207973574028873,1.0,0.18457985457230097,1.5850181099093732,28.357921021646433,0.9999999999999999
original,3101,1,8,14400,18000,0.07010408690338098,5.595903003085495,208.90638731187036,1.0,0.1817587261231909,3.558676189297737,127.81284086326202,1.0,0.002348235746569081,11.006152629036555,616.1965887464597,0.9999999999999999,-0.00533259182361166,10.657346461363268,425.32581595342054,1.0,-0.030490038849419785,8.904832490928278,348.14871246144907,1.0,0.04752232310944968,10.718092023818977,430.18977613084246,1.0,0.17878564467406027,1.880544051238638,31.52850594559837,1.0,0.09696078759329171,2.1090532126801502,33.60424688130785,1.0,0.14097324849780332,1.9111848181603395,35.325763479235235,1.0
original,3101,1,9,16200,19800,0.07442907164740357,5.409581669814653,203.47946390211501,1.0,0.18443185817804458,3.8106474233616034,140.7940967502205,0.9999999999999999,0.00155594965065363,14.684158980687622,867.5611291258515,1.0,-0.00590118172910506,10.508883995494696,421.08028401170304,1.0,-0.03137902511246535,9.383537566577838,375.01674808598045,1.0000000000000002,0.04762085066769126,10.794658373030023,436.2299992831142,1.0,0.1621746348117179,1.6553492758074253,30.15942439293463,0.9999999999999999,0.08892445304100571,1.7083664209967082,27.28868603622262,1.0,0.12863222213744158,1.8706437602744124,38.635362794123765,1.0
original,3101,1,10,18000,21600,0.07555187001309396,6.1153337306722095,245.04536410781398,0.9999999999999999,0.18563398561781072,4.691764022355418,172.69339912241526,0.9999999999999999,0.001185744728609334,15.673340481653328,946.06182905048,0.9999999999999999,-0.006296864643826123,11.238189278861695,447.935124110094,1.0,-0.03264237489451786,10.220906095447651,417.3748527460849,1.0,0.04861854936930764,11.08018325169488,459.5879120446609,0.9999999999999999,0.13584383669586222,1.5213856681581561,33.56922186715824,0.9999999999999997,0.06566148208341338,1.6121743682307887,30.339589021281675,1.0,0.10806452339851294,1.481346462872561,36.26402438982092,0.9999999999999999
original,3101,1,11,19800,23400,0.05886518335730824,5.095939564418156,195.40923795191884,1.0,0.17329767268924615,3.5455981345739214,124.0474496527317,1.0,0.0017480483049907762,13.77480809990248,802.5849362957364,1.0,-0.005093047842111563,10.642179862757116,415.1577227231482,1.0,-0.03073389481329119,7.79225874040182,313.5979849532502,1.0,0.0479445489634694,8.683861741748954,358.3571030228408,0.9999999999999999,0.1640351288525333,1.3178174456349592,24.946501617358336,1.0000000000000002,0.08609012550500074,1.4775541556149048,25.389253543135595,1.0,0.12295506728536593,1.500384148493974,30.983066945368364,1.0
original,3101,1,12,21600,25200,0.05335888314898668,5.232784511771916,191.70936793368284,1.0,0.1701265164191565,3.462632265483961,120.06824186853412,0.9999999999999999,0.0019155003527047449,14.021399054953882,806.4874304705237,0.9999999999999999,-0.004527469128903587,10.792595192621821,420.3890241954996,1.0,-0.029647109758399598,8.082469641041872,318.27126670827204,1.0,0.0479277861562347,8.585997710883413,351.372222601094,1.0,0.1981243757640791,1.616275099587202,27.359791611350545,1.0,0.10604689379466473,1.7812237670630982,28.268270389800318,1.0,0.14950204421934693,1.7914806604097542,33.53773448254139,1.0
original,3101,1,13,23400,27000,0.046689130136488954,5.131503696095369,189.36111123233465,1.0,0.17731260148089872,3.9937174063022667,139.02492860589174,1.0,0.01792448510893313,2.913200207733179,125.65007127830253,1.0,-0.003506184431302883,11.080537213854935,438.7809109031187,1.0,-0.03222625155909517,9.404290730979024,370.3638072026157,1.0,0.04965436208099501,9.70110121944584,393.05804378898654,1.0,0.2046184432989284,1.5539983934526664,25.111437798148412,1.0,0.12236428396592233,1.7997850758065985,29.140097635987164,1.0,0.1429651531896747,1.5898040199464212,29.49819227372783,1.0
original,3101,1,14,25200,28800,0.057664730609460244,3.92914305434733,146.56567773211646,1.0,0.17578347802472505,4.543284089854983,160.12473840244652,1.0,0.01789628146269556,2.912385733717852,126.28430092392497,1.0,-0.003782030864472756,10.520910172367223,418.433305432899,0.9999999999999999,-0.03282444484709458,9.342383843016158,367.8076290916521,1.0,0.04957706155543016,9.678005403037433,391.2631427647428,1.0,0.1996876507194885,1.3774492710787516,21.682055099576676,1.0,0.14070923708146926,1.6594417441358773,26.34677704496746,1.0,0.1279936168550979,1.4068699377417373,26.30348016453872,0.9999999999999999
original,3101,2,0,0,3600,0.05717934725752639,3.0423411280681774,146.29416155698922,1.0,0.1907574851472172,2.0252988287013687,95.84544559379917,1.0,0.024015050788624218,3.874462212731071,158.2299029382348,1.0,0.009091129272309798,1.2303079837998887,45.829403159597994,0.9999999999999999,-0.04418704320566748,1.3526621161112142,49.8584680911574,1.0,0.07201400658818063,1.1570943770263782,50.11154814229424,0.9999999999999998,0.29282360636098026,1.4289863281207897,70.79211341726403,1.0,0.18252101804839577,1.4986082151782296,71.8782226864595,1.0,0.20708362023838606,1.4926925814153944,73.41742738765461,0.9999999999999999
original,3101,2,1,1800,5400,0.05205087019489664,5.292711603041132,196.95503976962053,1.0,0.18195067364144024,3.99928859684896,138.44568314361746,0.9999999999999999,0.008277324228431599,3.5776798506368572,175.58834248349245,1.0,-0.004851746452054316,10.655038100644724,410.5395015992995,1.0,-0.028477125997503593,9.812420741248316,390.9755956777013,1.0,0.0474920657073076,10.152049586779691,414.1202810032463,1.0,0.18879147580408595,1.6057081845566576,26.905706710054066,1.0,0.11185044642981616,1.4942968976986997,24.969206916713823,0.9999999999999999,0.13113064492744717,1.781884648052973,33.801170079860285,1.0
original,3101,2,2,3600,7200,0.04717413024685994,4.898167212598595,186.02309251536113,1.0,0.18539232399196098,4.357216796643312,154.96459272181,1.0,0.011588744201427777,4.469157802810965,207.36439240802977,1.0,-0.005041518741511807,11.214954822102525,430.9329744688021,1.0,-0.029812945812495228,9.875600958065906,383.8749434595619,1.0,0.048688355922278555,10.438876826959653,421.1992074596704,1.0,0.2174165833972166,1.9442971942133687,35.473377108149876,0.9999999999999999,0.10875278238159328,1.8750738727049978,32.94975721975066,1.0,0.16447090078670587,2.0129668442365243,40.392946894960744,1.0
original,3101,2,3,5400,9000,0.052496483486201666,5.639425329179316,215.62130304851962,1.0,0.183892694481755,4.3435775367269605,152.79917234628567,0.9999999999999999,0.008018947648264434,11.370886701595126,547.2391163312706,0.9999999999999999,-0.0044048858977930065,11.613847375962484,453.57895447584445,0.9999999999999999,-0.02995450363386607,9.299906336645586,360.5862394578164,0.9999999999999999,0.048173655614496255,9.858105941113843,390.57123115670106,0.9999999999999998,0.2567435992406521,2.1393997199759993,38.164798469041514,1.0,0.12577766244521338,2.0105517396355936,32.00379942666472,0.9999999999999999,0.20278060781728505,2.326909973106609,45.68445520627381,1.0
original,3101,2,4,7200,10800,0.05420830580793164,6.373546828486904,244.95810785517065,1.0,0.1812330795285208,4.217352275881855,145.4619204469817,1.0,0.0055090191274891976,12.051841541796227,608.8439232646128,1.0,-0.0030583121574130918,10.568567482371689,417.816537175794,1.0,-0.02915703597836569,9.295633939859295,366.7756936721661,1.0,0.046946643265728644,9.315981909877639,369.89203134806786,1.0,0.22217162766312754,2.0245933524122357,35.893126642088895,1.0,0.11178339663526546,1.8707664862531634,29.538073767294026,1.0,0.17872057513577613,2.5241870064903633,48.86325011987272,1.0
original,3101,2,5,9000,12600,0.05459896147181744,6.364079883138756,240.6479983749237,1.0,0.18023629183080547,4.006323536890599,136.82867179048398,0.9999999999999999,0.003307903823019554,11.767447457943463,648.5992723020296,1.0,-0.004012456414384774,9.619291541885778,384.96207103098,1.0,-0.02729745173271061,9.36714443473027,369.3521531955179,1.0,0.04572342668157791,10.223313447759502,406.66772319136027,1.0,0.195688635067598,2.1751651129511202,37.730296283470175,1.0,0.1082276266162482,2.014900126706254,32.98979308327761,0.9999999999999999,0.14959788217226383,2.5876081431670204,49.043147575828165,1.0
original,3101,2,6,10800,14400,0.05192180296937458,5.676540535855257,218.05350284642978,1.0,0.18640855607851356,4.223402098721351,146.74949555747617,1.0,0.0023758286163578397,17.737845549339138,1019.5998070464078,1.0,-0.004556747462446706,9.191202901197546,370.4889689154782,1.0,-0.02836690936267887,9.531269622405867,376.0257421981712,1.0,0.04695857105510639,10.02299048284011,403.1033998617236,1.0,0.17896470088324842,2.161478740354517,38.98231686137229,0.9999999999999999,0.10020683548680386,2.095216746527473,36.034410104372476,1.0,0.13772139208571152,2.3477659468016263,47.58081036439468,1.0
original,3101,2,7,12600,16200,0.061305797776015296,5.376598520086431,212.19927494659848,1.0,0.18528984618869862,4.0775731925456045,146.9218301559157,1.0,0.011874022226651196,3.9707410241774013,188.1691586370807,0.9999999999999999,-0.0038776261851878216,8.91433484435199,352.7535327269773,1.0,-0.02951235574049064,9.49957426324251,382.6954731815288,0.9999999999999999,0.04743314558310028,9.682349990215036,403.01737607820496,1.0,0.1565917475995409,2.003442016503627,39.83347091962598,0.9999999999999999,0.08475220166181571,2.4140572950886727,44.14819970280435,1.0,0.1222079499275819,1.9313298986691805,42.92955674741663,0.9999999999999999
original,3101,2,8,14400,18000,0.07676337556032206,5.812227744506128,216.66935317191403,1.0,0.17977211163988147,4.080088647627809,144.70083322489498,0.9999999999999999,0.011674229234544482,3.790552205128431,179.74616920895812,0.9999999999999999,-0.0045197166662878764,9.821480584190851,382.89516161292005,1.0,-0.029551905334486143,9.578883541704709,376.8098476005289,1.0,0.04707131448488574,10.444824435688327,427.76556263100474,1.0,0.16967282508294765,2.3241471275611745,42.628131880493115,1.0,0.0867518871359754,2.6060059409320075,46.51530801921134,1.0,0.13323806925538867,2.2040621713593502,44.825101662484514,1.0
original,3101,2,9,16200,19800,0.06106752951133177,4.8125550743015655,174.69050457952196,1.0,0.17354662238992527,4.276634961999499,148.4164025172124,0.9999999999999999,0.0067869967961065895,4.841203553362371,237.4407581023724,0.9999999999999999,-0.004452405753321549,10.216490465035832,399.069697917888,0.9999999999999999,-0.028597244425974278,9.542800826887067,368.3923021979448,1.0,0.04678354587647711,10.124065522157627,408.3252580100041,0.9999999999999999,0.2338349339240867,2.030409549759947,31.4826959413627,1.0,0.14758297990271482,1.8815231595904527,29.03755517822679,1.0,0.16091029821120653,2.208483204099055,38.36209532565168,1.0
original,3101,2,10,18000,21600,0.05526967059683664,5.161561644557415,188.3418625334785,1.0,0.17565983044178138,4.246107463664589,146.2578787276768,1.0,0.007726673064163359,4.959969627388121,232.85284749758821,1.0000000000000002,-0.003699674155001099,10.252407366157652,403.8616407790941,1.0,-0.029421273184942285,9.69324625360816,368.2636305221667,1.0,0.04738125304690215,10.438886416625332,420.6516017219771,1.0,0.25435613718425704,1.7872618749395788,27.20352139391277,1.0,0.18475671590275322,1.8799841813921683,28.905435453786186,1.0,0.15359889596286255,1.9073567476357607,32.50480305141193,1.0
original,3101,2,11,19800,23400,0.06612702526343542,5.666507085405527,207.79774500360764,1.0,0.1795617878325683,3.992022386561877,136.4402626463839,1.0,0.00312911730750689,7.0158609180035105,369.5081917067628,1.0,-0.004707642548280333,10.133519333345927,395.57157252479027,1.0,-0.029676000254494392,9.413369206872028,362.7920486519893,1.0,0.047739436879836526,10.412274186949004,425.46229415794284,1.0,0.20603123395414571,1.6765164255715028,27.835901425602128,0.9999999999999999,0.14024740728389198,1.758181756664977,30.503702846138193,1.0,0.13338985379433554,1.8305033643222732,33.381177290788585,0.9999999999999999
original,3101,2,12,21600,25200,0.06411796475877415,5.155477774775356,193.48090427667682,1.0,0.17692145073367,3.9283005545734393,134.86630270760472,1.0,0.0032934314690050244,6.038892974731771,315.5423857620982,1.0,-0.004408425647642957,10.025269440223097,397.17899171758535,0.9999999999999999,-0.02757190612509238,8.917746605508093,348.24426878667146,1.0,0.04653845168724465,9.69073316911859,389.8307364437571,0.9999999999999999,0.18905199010045806,1.8244922148919878,28.89051924221329,0.9999999999999999,0.1218376067685004,1.7895016006877467,29.33409380234982,0.9999999999999999,0.1327054974187161,1.966294666851398,34.891186288713584,0.9999999999999999
