source,participant_id,session_number,window_index,t_start_frame,t_end_frame,head_rotation_rad_mean,head_rotation_rad_mean_abs_vel,head_rotation_rad_mean_abs_acc,head_rotation_rad_rms,blink_aperture_mean,blink_aperture_mean_abs_vel,blink_aperture_mean_abs_acc,blink_aperture_rms,mouth_aperture_mean,mouth_aperture_mean_abs_vel,mouth_aperture_mean_abs_acc,mouth_aperture_rms,pupil_dx_mean,pupil_dx_mean_abs_vel,pupil_dx_mean_abs_acc,pupil_dx_rms,pupil_dy_mean,pupil_dy_mean_abs_vel,pupil_dy_mean_abs_acc,pupil_dy_rms,pupil_metric_mean,pupil_metric_mean_abs_vel,pupil_metric_mean_abs_acc,pupil_metric_rms,center_face_magnitude_mean,center_face_magnitude_mean_abs_vel,center_face_magnitude_mean_abs_acc,center_face_magnitude_rms,center_face_x_mean,center_face_x_mean_abs_vel,center_face_x_mean_abs_acc,center_face_x_rms,center_face_y_mean,center_face_y_mean_abs_vel,center_face_y_mean_abs_acc,center_face_y_rms
original,3101,1,0,0,3600,0.06060752833239338,0.19764196145707147,7.398160717663176,0.03812765776688399,0.18043972981163867,0.16795273762406385,6.008474469365138,0.048700121072589336,0.002450488131250791,0.0506820967675543,2.8352594040734735,0.005030934119001992,-0.0043114553002032326,0.0493514462361409,1.9346298520429823,0.004930470950221559,-0.031473645362985865,0.09701115301323486,3.8382782234966397,0.012382025216206452,0.0493185669772207,0.07445426252246558,3.0186415042681958,0.008534631668184241,0.2313490826146274,0.3213498000129178,5.948185780209931,0.15247306620755327,0.12196350978140995,0.23655541525665444,3.931181497477034,0.10734976283759526,0.18390488690025014,0.29022107749067627,5.860974461908624,0.1286481916704649
original,3101,1,1,1800,5400,0.061216612038283165,0.20944462764314212,7.509857401319322,0.049307830815248414,0.17469004521485607,0.18442756007245348,6.408991079754397,0.05173940892843727,0.0028273463615959764,0.0562002681275156,3.0907207633183584,0.005398823308193683,-0.004899395303166298,0.05252053954178354,2.0770957867079747,0.004645909147702953,-0.029660469593669178,0.10959982472026134,4.243086285276259,0.013783722866327286,0.04809567850915076,0.08221843640668784,3.3494761790696166,0.00933820893809628,0.24796580234489196,0.3576634020973419,6.2094533649483195,0.17234886092189866,0.1232755568611128,0.2626117422478552,4.423528815240314,0.12312087192468515,0.19889708003481885,0.33348104633771813,6.336687574915098,0.14586126464669277
original,3101,1,2,3600,7200,0.0712190580044504,0.18777052567730199,6.647671085947021,0.04496244060887892,0.17821903759119478,0.173006772749769,5.909567437589384,0.04704197073242663,0.00229989024755,0.049617501834557806,2.7951482718895155,0.003661351835201293,-0.005419682792864831,0.0508686594685561,2.028770334174278,0.004862499244063803,-0.03053994898640703,0.10659602892705573,4.120766674632389,0.013323242226556578,0.048528625103199455,0.07788305863162966,3.161817456230063,0.008902382844305638,0.2252617694647808,0.31307916286350546,5.2009214018883085,0.17932369944141105,0.12402235792197244,0.243374990630409,4.0542404562292385,0.12692393990496656,0.16897540911378336,0.2703133686226619,5.128890022677154,0.15118178889357536
original,3101,1,3,5400,9000,0.0766748613381302,0.1741277085158851,6.51255545871383,0.03168550484978042,0.1838251921363021,0.15950814163765006,5.445549816626429,0.037530363989830326,0.0019349339521253616,0.045995130375572464,2.687837613386646,0.0031501017873783637,-0.004137054095670138,0.048090141636476534,1.9217682518948267,0.005564735510959855,-0.03232356315066024,0.09432424943206244,3.709232641513336,0.010589350559322197,0.04914190176131902,0.07077027132891094,2.871846372671932,0.007084960961850888,0.16046603231434595,0.248578304633198,4.278760977730302,0.14247629389343608,0.09080875614192022,0.18198556581544564,2.887174854722027,0.09812770381452132,0.11679687227526488,0.22198241124239532,4.39468992084155,0.12054897771063719
original,3101,1,4,7200,10800,0.0703919108904707,0.20940186020891713,7.587894741777661,0.034798996871268334,0.1776466809260078,0.1753042360801407,6.026030374933181,0.04407409447013055,0.0024670105540763082,0.05637283347511316,3.2369840861873302,0.004009634679252244,-0.002370784984207054,0.053598636157246304,2.1241701010196645,0.004939026839751103,-0.0317297896021416,0.10176525898592095,3.9937787125979645,0.0117084430454267,0.04858075829211327,0.08042458149015116,3.258069477966335,0.00787288418562648,0.20101682874743748,0.3435722802362216,5.5353994186036495,0.19814976907018364,0.12116446054597649,0.2422663975344627,3.7286317813604546,0.13412175945272606,0.14319918755490485,0.30350209186910104,5.426914126346243,0.16277474081615473
original,3101,1,5,9000,12600,0.06244331942298842,0.21157111824149324,7.627212998061736,0.04769952998091875,0.17438269492126648,0.19107428328137627,6.620034518552311,0.04509603215065024,0.002946130149425297,0.0593661475363324,3.273527754236183,0.005946986022368893,-0.0034880117448347933,0.05381375521952191,2.1056721393495423,0.004959426713212132,-0.030373846038726227,0.11112521852781651,4.314989705853697,0.012040526913483009,0.04801460872492192,0.08773763039612748,3.5052904374760923,0.008572998665494174,0.26085383089349234,0.3998966810104969,6.306092814353909,0.23472277657486343,0.17494431538134392,0.31245168170200044,4.857923593689639,0.172787996298746,0.17103170204400392,0.3233173126602084,5.636751434545481,0.18282903128762748
original,3101,1,6,10800,14400,0.062062364924030805,0.20056676800261322,7.574634785701969,0.05291788371979277,0.176199093875427,0.19256757703551933,6.604898481851229,0.0461052848322945,0.005166557530536745,0.08751137834878922,4.325534684490442,0.01678328724659784,-0.0036187539383073335,0.05390535372185589,2.0646504049274568,0.005071578533972548,-0.02872878165063244,0.11761376847229964,4.467678275759596,0.012591188565548743,0.04706799841123966,0.08712471602739591,3.4718385078022447,0.00905105349738294,0.27524269199538537,0.37902817421078494,6.171081435588251,0.2710575784180967,0.17340654076678175,0.3102244351291562,5.023617477405462,0.1981923495120065,0.19154231259965007,0.3123468089879624,5.63692704545648,0.20782746934160573
original,3101,1,7,12600,16200,0.06443967933768655,0.20636219142524218,7.781636292158847,0.042660613942857625,0.17864659188164211,0.16681436800499494,5.75531162639511,0.04646101468718941,0.004849977350185193,0.0854737219000398,4.206546955733328,0.016640623994670374,-0.004323024857945718,0.053164728450353235,2.073620595684389,0.004789230445942035,-0.028553479665370324,0.1056685063536353,4.001966924514454,0.012168669872817953,0.046884332023175296,0.07689521563954185,3.1080583168205576,0.00795193288808726,0.23553584751114467,0.3496296796862017,5.742600405781667,0.2432730652760485,0.1254654133251873,0.24760433984479197,4.0742588825091,0.16162579949332798,0.18457985457230097,0.3119093666844068,5.580441719277202,0.1967859955254649
original,3101,1,8,14400,18000,0.07010408690338098,0.18857803348381477,7.039999742625768,0.033699303468955,0.1817587261231909,0.13949256839054064,5.009992619987771,0.039197881731989744,0.002348235746569081,0.053652758330456934,3.0038331989731626,0.004874796864883522,-0.00533259182361166,0.047788398398094324,1.907195155516844,0.00448408040137801,-0.030490038849419785,0.09062879786232704,3.5432782503030475,0.010177484860569172,0.04752232310944968,0.06904545763753664,2.771262823451675,0.00644195417282254,0.17878564467406027,0.2593601962441354,4.348337112310008,0.1379176393519234,0.09696078759329171,0.1776376219572056,2.830359361143184,0.08422623994937833,0.14097324849780332,0.23106114876055384,4.270864551034187,0.12089942666192155
original,3101,1,9,16200,19800,0.07442907164740357,0.15528609585287428,5.841030501842467,0.02870574941485166,0.18443185817804458,0.12251642672373816,4.526682141171794,0.0321510790981704,0.00155594965065363,0.04013050735707146,2.3709678110188825,0.002732911527984032,-0.00590118172910506,0.043796524302983496,1.754882145443039,0.0041675713921439875,-0.03137902511246535,0.07981437255145862,3.189812608773624,0.008505787074987628,0.04762085066769126,0.06187317905458657,2.5003975042009627,0.005731832997065842,0.1621746348117179,0.174283387013136,3.1753338768964006,0.10528496285361061,0.08892445304100571,0.13900975851141917,2.2204801085800274,0.08136998995234115,0.12863222213744158,0.14860323145140902,3.0691785798179505,0.07943962105837288
