source,participant_id,session_number,window_index,t_start_frame,t_end_frame,head_rotation_rad_mean,head_rotation_rad_mean_abs_vel,head_rotation_rad_mean_abs_acc,head_rotation_rad_rms,head_tx_mean,head_tx_mean_abs_vel,head_tx_mean_abs_acc,head_tx_rms,head_ty_mean,head_ty_mean_abs_vel,head_ty_mean_abs_acc,head_ty_rms,head_scalex_mean,head_scalex_mean_abs_vel,head_scalex_mean_abs_acc,head_scalex_rms,head_scaley_mean,head_scaley_mean_abs_vel,head_scaley_mean_abs_acc,head_scaley_rms,head_motion_mag_mean,head_motion_mag_mean_abs_vel,head_motion_mag_mean_abs_acc,head_motion_mag_rms,blink_aperture_mean,blink_aperture_mean_abs_vel,blink_aperture_mean_abs_acc,blink_aperture_rms,mouth_aperture_mean,mouth_aperture_mean_abs_vel,mouth_aperture_mean_abs_acc,mouth_aperture_rms,pupil_dx_mean,pupil_dx_mean_abs_vel,pupil_dx_mean_abs_acc,pupil_dx_rms,pupil_dy_mean,pupil_dy_mean_abs_vel,pupil_dy_mean_abs_acc,pupil_dy_rms,pupil_metric_mean,pupil_metric_mean_abs_vel,pupil_metric_mean_abs_acc,pupil_metric_rms
procrustes_participant,3101,1,0,0,3600,-0.0025076273819207824,3.077817397042635,98.73046011453074,1.0,-0.00985443999762902,2.7250025049784177,87.41203338128531,0.9999999999999999,-0.007185531237542793,2.9405160189043564,85.93909452701169,1.0,1.032740078327078,4.318856232089375,158.7993245661693,1.0,1.0399559155291291,4.204849842346215,137.82843236082516,0.9999999999999999,0.062337648272946904,3.6910446419609406,130.415681390799,1.0,0.010398429051258878,3.4694262045788307,123.86158214752736,1.0,0.00014340722619397893,9.710248261062441,541.2155580420408,1.0,-0.00025412398927294067,9.917303006271839,386.1635939053377,1.0,-0.0018101211205200527,7.816308667932512,310.26863019567116,1.0,0.0028358514299003795,8.559274216671973,347.6173047798577,0.9999999999999999
procrustes_participant,3101,1,1,1800,5400,-0.0019962555069739513,2.9460018736659332,91.23970696172847,1.0,-0.010473496253665846,3.4239659824408033,106.52241763940202,1.0,-0.014118425989438502,3.1418073205952286,91.74198990825992,1.0,1.040947654198808,5.096337646265265,189.61296734430618,1.0,1.0495552761316038,4.276840216374143,139.19983485189323,1.0000000000000002,0.0755530421916622,4.439099308427738,155.40710573334067,0.9999999999999999,0.010049946599460326,3.525251965347753,122.02749558818205,0.9999999999999999,0.00016536420963903078,10.041236870644838,549.3086861923142,1.0,-0.00028129572443498507,11.20738428731478,441.13077074881727,1.0,-0.0017024860907943493,7.885090393917716,306.5424026122101,1.0,0.002759358684578952,8.591039505651121,350.9217074259539,0.9999999999999999
procrustes_participant,3101,1,2,3600,7200,0.0024615674010118236,3.03692461024461,93.50715281672262,1.0,-0.011049863841831218,3.2987724334438893,102.69861027706237,1.0,-0.019023576085035826,3.1743317143128844,92.23204204254448,0.9999999999999999,1.0472983528950122,5.293050080538593,194.70806871033082,0.9999999999999999,1.0551409150264894,4.062418831311576,130.99302099238952,0.9999999999999999,0.08276292280293407,4.535869820537527,151.1786813680865,1.0,0.010282985515173754,3.6156348106041527,123.45771968824499,1.0,0.00013350782957757498,13.375193065402323,750.959420304285,1.0,-0.0003066492542244837,10.487878800108621,418.5855424874931,1.0,-0.0017595519588046555,7.981218977020714,309.3912397004514,1.0,0.002789962711059409,8.591295238648522,348.3464146459418,0.9999999999999998
procrustes_participant,3101,1,3,5400,9000,0.003921041892390995,3.5514768800748726,118.43749497865146,1.0,-0.008492143743239805,3.3342159047464786,111.3813443110888,1.0,-0.016802548870980184,3.530395310596453,105.48128496983823,1.0,1.0396582591497205,5.185799918015601,192.25679694852107,1.0,1.0498905017280586,4.552538410293128,145.99615289859724,1.0,0.07086669644691812,4.34863307649569,145.1771280991494,1.0,0.010666386800495108,4.225076767022338,143.33719911308276,1.0,0.00011242559849098485,14.485784343589383,845.2061279727075,1.0,-0.00023108885039421252,8.50267511066547,339.91620748062786,0.9999999999999999,-0.0018731784522174355,8.92649511815755,351.6954150347922,0.9999999999999999,0.0028358817336199592,9.885996971954667,400.55714416432374,1.0
procrustes_participant,3101,1,4,7200,10800,0.00253686392136503,3.685830596822299,117.45079147978394,1.0,-0.007158975763695895,2.9861561850003633,95.72917373020644,1.0,-0.018096744277970263,3.430772494516085,102.76982195683973,1.0,1.035269593494419,5.717359026182913,211.80335138348653,0.9999999999999999,1.048672194481868,5.052867084077907,163.4798845325879,0.9999999999999999,0.06915426948663447,4.589072616403575,152.4066868993498,1.0,0.01030255570086002,3.9305824369580993,133.82295280717148,1.0,0.0001440294226081859,13.845646820576025,792.9962096389853,0.9999999999999999,-0.00013149356981198855,10.649009522563238,421.08689818159974,1.0,-0.0018378970797379645,8.63107327933752,339.7373481060113,1.0,0.0028004065153398243,9.928336749647737,403.5662820787699,1.0
procrustes_participant,3101,1,5,9000,12600,0.00010531070793628016,3.385611749391538,108.81623662077764,0.9999999999999999,-0.01003329116649341,3.00837736275054,94.29103810305993,1.0,-0.0205371729381421,3.158102775345356,91.07277892384458,1.0,1.0447148604342607,5.245151120714986,191.63010191408446,1.0,1.0535631669884489,4.412947519195924,139.37788907174655,1.0,0.08014598915577353,4.135470681126115,134.53859454951925,0.9999999999999999,0.010061094610082888,4.207138543171605,145.28999460392578,1.0,0.00017209322374769063,9.775977307636964,537.2702496770796,1.0,-0.00020336864717865623,11.019396886249671,430.5911431996006,1.0,-0.0017504347178165776,9.18557554000986,357.3793623254235,0.9999999999999999,0.0027602257052910147,9.928078507670659,397.4190017622573,1.0
procrustes_participant,3101,1,6,10800,14400,0.00234729078755299,3.2290367059750533,107.5045022469446,1.0,-0.008946690143024925,3.1245873113696487,98.25621196997655,1.0,-0.023394591675338715,2.9809005736341185,82.51242365286521,1.0,1.0476145318553391,5.387311581722811,195.12168385892295,1.0,1.0540753184515157,3.9728763187990896,119.68398573817578,1.0,0.08418565979495289,3.9755176720127867,126.53812782468337,1.0,0.01011902908224856,4.134135543675817,141.65781120720683,1.0,0.0002992064855778446,5.1596538742391065,254.70114328980807,1.0,-0.00020641814339324445,10.906716641589274,419.46335087306784,0.9999999999999999,-0.0016487233893220162,9.23485881827576,351.23431387749434,0.9999999999999999,0.002697765545263347,9.351381817241096,372.3791175142438,1.0
procrustes_participant,3101,1,7,12600,16200,0.0013322360998937418,3.6007441091301984,114.69402327810002,1.0,-0.009366055420183667,3.2941701669270316,104.67881684099319,1.0,-0.018909281952733337,2.783711571571219,77.37214116635408,1.0,1.0397717946446814,4.769476171199913,167.12744104585252,1.0,1.0476174932022981,3.6859003204890466,111.9324368943536,0.9999999999999999,0.07604122623319803,4.05197263707021,128.73503965661894,0.9999999999999999,0.010274876421375544,3.500509938356578,119.89377456877851,0.9999999999999999,0.00027975416464980584,5.084204582921242,249.95475390240446,1.0,-0.00024620246272623645,11.193617711764185,437.04066239468807,1.0,-0.0016407380312389672,8.571210745064143,325.4842215226181,0.9999999999999999,0.0026879538653668605,9.425090227020844,380.83447758636447,1.0
procrustes_participant,3101,1,8,14400,18000,0.0018457704470919976,3.779067193746632,121.67078076087428,0.9999999999999999,-0.011062971611643716,3.7667239585598056,123.17621809008132,0.9999999999999999,-0.012851566626272447,2.885811402357191,87.55934237705031,1.0,1.0368049010295681,4.877906800324509,173.1449846814264,1.0,1.0435610333723575,3.6307552999984805,118.27443413221341,1.0,0.06716478922808651,4.365536019709516,144.74111838447328,1.0,0.010488609199765296,3.46228972314065,123.20847525157161,0.9999999999999998,0.00013528763363705658,11.04723897646817,617.5277153434405,1.0,-0.0003041896061942967,10.6944538399217,425.3286810726888,0.9999999999999999,-0.0017577234713564542,8.922102696533546,349.72232995338703,1.0,0.002731399565711116,10.549307495985522,423.42773601802514,0.9999999999999999
procrustes_participant,3101,1,9,16200,19800,0.0029751264247006226,3.7233493798176935,122.48795887850758,0.9999999999999999,-0.010637127410784897,3.709777999687054,118.38640387791635,0.9999999999999999,-0.011134914723302145,3.001817660507289,93.71662453115235,0.9999999999999999,1.0366124522329774,6.121595815905445,221.57252654326672,1.0,1.0438427473101066,3.904282010251914,134.00215512879805,1.0,0.06276157283293927,4.176657909663242,139.78880448138167,0.9999999999999999,0.010655614705625899,3.7393110985818154,137.21135048628523,1.0,8.982757788892068e-05,14.605425706463551,862.0560596844836,1.0,-0.0003357035371137174,10.470826559442937,419.202866151699,1.0,-0.0018117169135159524,9.455152955107513,378.3536411015654,0.9999999999999999,0.0027401044392506737,10.669588471623937,431.7327124925177,0.9999999999999999
procrustes_participant,3101,1,10,18000,21600,0.0036653365069836724,4.436579237631961,152.88716256550202,0.9999999999999999,-0.01025386902841493,4.998972944759311,170.15114357314923,1.0,-0.00949301438116407,3.8863303240040543,127.33022315828632,0.9999999999999999,1.0354211089309733,5.925988091160717,212.38178494235385,1.0,1.0402658359077375,3.9111725371760873,139.14689838853164,1.0,0.0573397731793567,4.18226792093829,143.84149103563442,1.0,0.010706579215422729,4.610397086330911,167.45491892259807,1.0,6.81873504333852e-05,15.695756936958286,947.5638907142053,0.9999999999999999,-0.0003546261517939131,11.147692467317965,444.3039249264539,1.0,-0.0018823191297772453,10.257023179689105,419.1482304836356,1.0,0.002795799954122513,10.911418224624999,453.5105804464876,0.9999999999999999
procrustes_participant,3101,1,11,19800,23400,-0.004006615306939924,3.352180818206289,109.46203937695006,1.0,-0.01058138371830376,3.529746300455131,114.3988126198143,1.0,-0.011590584717338577,3.1005695939602447,96.18301518583648,0.9999999999999999,1.0366420550641886,5.5193559408136466,201.7722210300693,1.0,1.0412077634983117,3.8818439411181807,130.58723770195763,1.0,0.06225048004544317,3.8459188036829812,134.22121421493176,0.9999999999999999,0.009947666943508623,3.539442115766156,122.48791006024884,1.0,0.00010064536444069925,13.777061738197892,802.2758376665943,0.9999999999999999,-0.00029591503921210324,10.517268670405377,410.29377258422255,1.0,-0.0017618632417949554,7.742364323458317,311.75562053092204,1.0,0.0027477449800774293,8.469766921429809,350.0445143286099,1.0
procrustes_participant,3101,1,12,21600,25200,-0.007005985693348641,3.6021950821875506,118.89238539653647,1.0,-0.011728072916016644,3.3103587434139317,106.71463007974222,1.0,-0.013614934792258629,3.1343522341666863,94.66631173808058,1.0,1.0391606472618744,4.877852675086067,179.49979719911047,1.0,1.0419770149656362,3.9563426666785855,127.50538201538882,1.0,0.06830246023917431,3.8957019879642294,132.0685361273877,1.0,0.009725892258691506,3.471129008034273,119.06461237443818,0.9999999999999999,0.00011040401953280346,13.991066674902306,803.999941640089,1.0,-0.0002700564764454919,10.73333913656443,418.4500487511635,1.0,-0.0016906193136837738,8.092014120225393,318.6188207309485,0.9999999999999999,0.0027402532299848313,8.480168748807818,346.65322791200504,1.0
procrustes_participant,3101,1,13,23400,27000,-0.009479245134389436,3.9181132367608664,135.6596027277165,1.0,-0.01530125516505328,3.100360857095829,105.83409965324424,1.0,-0.01073374599230061,3.283699410689041,100.54157981978486,0.9999999999999999,1.0425242405032324,4.691643158577088,174.74404336941467,0.9999999999999999,1.0333184660361976,4.272947001739917,139.63555648676848,0.9999999999999999,0.06677385702839206,4.327183846424668,148.39764810419726,0.9999999999999999,0.010028604316324297,4.0184638568581414,138.64438513753734,0.9999999999999999,0.0010071491706655719,2.9385587565210827,126.91103045238522,0.9999999999999999,-0.00021959438975793506,11.122263262808096,441.57273028917035,1.0,-0.0018184054344416401,9.423248422663445,371.20206519821426,0.9999999999999999,0.002825205981591492,9.595494346569954,388.06608435200616,0.9999999999999999
procrustes_participant,3101,1,14,25200,28800,-0.004658827657563462,3.1144665848626825,104.69774949698078,1.0,-0.014003921757637455,2.969038008544245,98.29987090486324,1.0,-0.01150944975648176,3.0166307640934007,90.12917958401567,0.9999999999999999,1.0408879197087906,4.944430361531301,181.40611398486783,0.9999999999999999,1.0367153785088092,4.066318522716114,132.24918957224477,0.9999999999999999,0.06658046840746135,4.05828956435955,137.6578413117728,0.9999999999999999,0.010017479454768502,4.572289214217996,160.8315564018147,1.0,0.0010061179090152933,2.94569053869437,127.98961515662462,1.0,-0.00022637067110052044,10.431572640531643,415.2767499818344,0.9999999999999999,-0.0018689104803637814,9.260569617835055,364.5884104251162,1.0,0.002835753301038919,9.45832916629315,381.79882874783465,1.0
procrustes_participant,3101,2,0,0,3600,-0.016054145941131828,2.42395185492847,163.7760407985823,1.0,-0.001457064615111543,4.018316915698195,166.43890254712647,1.0,0.008680597188344375,3.5571286055936557,130.21480616461224,1.0,0.9848101452466869,2.0372923617815517,92.61878733823777,1.0,0.9941620569225411,2.6936221847503887,89.82824324015455,0.9999999999999999,0.05076102138717353,1.8653394396803606,81.45647493741806,1.0,0.010518200070893276,2.5104861719064124,88.14949337554334,0.9999999999999998,0.001354977997017629,3.8640252303075546,155.07034720596138,1.0,-0.0005285397196211749,1.6824128866999941,69.8748846973152,1.0000000000000002,-0.001983749551405866,1.7724708274920273,59.31963700886496,0.9999999999999999,0.003410227641526084,1.5120183846613071,51.47715793564069,0.9999999999999999
procrustes_participant,3101,2,1,1800,5400,-0.009734770110061196,3.5567990798787372,120.30066541626147,1.0,-0.006815651314461781,2.9955785419598233,99.44726837833537,1.0,0.005855672656064251,3.3030771593131436,101.16878857199147,1.0,1.0034257694042572,5.074727029791317,184.66830207957813,0.9999999999999999,0.9988615827895092,4.611373440628302,148.4533123503052,1.0,0.03816230794323655,5.093444297167132,192.73512155340958,0.9999999999999999,0.010379579604610636,3.953741683093246,135.87250418806175,1.0,0.00047397899233698847,3.583779530564615,175.8941488651184,0.9999999999999999,-0.00029691565729681975,10.589361360031026,408.4511182498187,1.0,-0.0016202335818486105,9.779618992551912,390.5239007525924,1.0,0.002721072132231293,9.843246528665478,400.853046996885,1.0
procrustes_participant,3101,2,2,3600,7200,-0.014613880489663474,3.5585924065568637,122.53120597562469,1.0,-0.011312841397145593,3.5442356408300895,119.97378324130031,1.0,0.009999028951709078,3.2584829998780753,100.91483165741506,0.9999999999999999,1.0039888758406534,3.6241786514888266,123.41361717238625,1.0,1.0040439095383966,3.2444898445809995,103.13792184235037,1.0,0.04678711168707028,3.5078285986619253,123.60778617360931,1.0,0.010670978969056891,4.317352253289451,152.0686509767597,1.0,0.0006674738910414675,4.497380732861207,208.79523547897213,1.0,-0.00031488285309793306,11.097577808985598,426.41485107158763,1.0,-0.0017118243058568937,9.757379686500451,380.18346956025914,0.9999999999999999,0.002805322919186376,10.065046448825541,405.1146597937663,1.0
procrustes_participant,3101,2,3,5400,9000,-0.01042612455681686,4.01371076260239,138.80383068174953,0.9999999999999999,-0.00802514790756713,3.043006534775482,98.67237913327915,1.0,0.010254593363157134,3.1488288368975414,98.19834586560633,1.0,0.9971362667996022,3.7323530010592387,128.91206988601698,1.0,1.0076142137087434,3.195364122763055,102.57072403598103,1.0,0.04596359482244834,3.2274070161089674,114.69085358146512,1.0000000000000002,0.010687052841133263,4.246556639217756,147.75867368946328,1.0,0.00046708104262136173,11.31243236579496,543.7671248247162,1.0,-0.00027238813965671277,11.210156102695013,437.03710199548084,1.0,-0.00173846514685832,9.13023051338194,354.09109343286525,1.0,0.002786207429553126,9.497383140478123,374.5767441153523,1.0
procrustes_participant,3101,2,4,7200,10800,-0.008380990015404538,4.508610833897018,152.2900601702685,1.0,-0.004793600176185701,3.1526266246096846,103.58793213813709,1.0,0.00971766137897765,3.594050350903769,111.23770362026073,1.0,0.995134982281141,5.3859204481504985,197.49809780574952,1.0,1.0049237667068265,4.411777163438557,145.5969647303452,1.0,0.03566978129441332,4.818160811241001,182.22807901022094,1.0,0.010491541024194837,4.134375891704864,141.25115094842195,0.9999999999999999,0.0003200228531635143,11.972404982761994,604.3531742623263,1.0,-0.00019090950409333767,10.213883463474152,403.4784179844722,1.0,-0.001685907366490976,9.19821651628295,362.8486093314364,1.0,0.0027054826284914012,9.0558992750497,358.3721063167488,1.0
procrustes_participant,3101,2,5,9000,12600,-0.00925724576612629,4.249147958371783,142.20015780005062,0.9999999999999999,-0.004406945476198037,3.538092122069939,119.21958348982855,1.0,0.010462815378772443,3.713614152542269,112.0350536277322,1.0,0.9920931086463576,6.730902799961789,245.93584627263712,1.0,0.9991921732983615,4.930081334547793,160.3125537122841,1.0,0.032516583067254516,5.512648093841239,207.02267138685826,1.0,0.010389026233194168,3.9656861348473016,134.6113485853338,1.0,0.00019133136506359997,11.700326954510526,644.9839147195385,1.0,-0.00024473900482057103,9.376391584207864,375.05031747219573,0.9999999999999999,-0.0015683437289500343,9.404255216495939,370.3892991853014,1.0,0.0026263272144309564,10.119331134308664,400.528992270613,1.0
procrustes_participant,3101,2,6,10800,14400,-0.01275300249370063,4.009222481366186,140.93694565395597,0.9999999999999999,-0.008746181693131783,3.863307525423313,136.82130866845011,1.0,0.013742500214173697,3.8518468688425136,122.05478154929686,1.0,0.9939722161036292,5.327112372036517,193.91427326072943,0.9999999999999999,0.9975418766587898,4.530577694350043,149.80219862145347,0.9999999999999999,0.035257363972842876,5.835810000168931,224.55098463561114,1.0,0.010746992687406857,4.189388344447278,144.21929959676314,0.9999999999999999,0.00013696712231345122,17.716500978266293,1018.0232482526279,0.9999999999999999,-0.0002819118358233638,9.131082860261559,367.5233543340833,0.9999999999999999,-0.0016298368738300202,9.549568769685331,376.4391269727483,1.0,0.0027024434897854623,9.846071421636877,394.1789403558783,0.9999999999999999
procrustes_participant,3101,2,7,12600,16200,-0.00718947898596777,4.009720881953216,144.38487834412015,0.9999999999999999,-0.006029997510067863,4.030147648633719,147.38221068796506,1.0,0.012830807907487262,3.755911952356471,125.68813057970608,0.9999999999999999,0.9933369409617218,5.072223760822416,186.54780376881405,0.9999999999999999,0.9930176229560249,4.019805226629062,135.78351096902878,1.0,0.0330251550826062,5.507701465936803,209.20581712451178,1.0,0.010659327627912102,4.07378795216891,145.2803511954985,1.0,0.0006812569640777632,3.969881346278975,187.94558446495458,1.0,-0.00023393795702377694,8.962357358513746,354.2883044196167,0.9999999999999999,-0.0016954837557369867,9.457829410221628,380.9584755809371,0.9999999999999999,0.00272875370263982,9.434977678279973,391.47758445309495,1.0
procrustes_participant,3101,2,8,14400,18000,0.0044507525934949985,3.9166686505155877,129.79808673518963,0.9999999999999999,-0.0015952167395837321,4.270491933125232,146.3323119817852,1.0,0.005453671236361694,4.030506879300024,127.87926749093938,1.0,0.9930882324359859,6.168068630103569,223.80284215066231,1.0,0.9979212857205307,4.020608232629452,129.9269727339782,0.9999999999999999,0.03142893971022387,5.728619923879474,212.333192294511,1.0,0.010387834584673005,4.012822986922426,141.37671840353772,0.9999999999999999,0.0006699985908469713,3.794169666152094,179.82580945179933,1.0,-0.0002506648668144154,9.815967617107123,382.37847873910664,1.0,-0.0017076601539098993,9.516990383949599,374.709510920532,1.0,0.0027110167563859115,10.20066892117539,417.05214016764467,1.0
procrustes_participant,3101,2,9,16200,19800,-0.001258654003430041,3.3827206887871335,106.4263370604262,1.0,-0.0017211067788586816,3.0845165823143605,99.69465852311446,0.9999999999999999,0.0041247007956645276,3.4006106131830816,98.05049024880331,1.0,0.9934848054005899,6.604876004660121,242.06976700472686,0.9999999999999999,0.9979109965476722,4.4624880809354535,139.1854316587672,0.9999999999999999,0.0385108593294452,5.080385118671788,189.3234286579856,1.0,0.009958228863280101,4.201504550251695,144.68393528137545,1.0,0.00038638881900409055,4.9121467528627045,240.8899435422752,1.0,-0.0002585596518176693,10.094535157416647,393.5076812618235,0.9999999999999999,-0.0016387157958900659,9.440493867679761,365.0475915902198,0.9999999999999999,0.0026816616068373106,9.840373516981055,396.4667352869932,1.0
procrustes_participant,3101,2,10,18000,21600,-0.0049598693264950675,3.5695736901975743,114.51395380882363,1.0,-0.0038635594552606616,2.9382126422027914,95.79039570741188,1.0,0.005919259711942793,3.2891848831763957,97.74947397577728,1.0,0.9952908760694562,6.219000918339098,233.97679495787156,1.0,0.9892881183483727,5.025285641043192,162.75959472596173,1.0,0.04029531479691207,4.615285614002051,175.26734225168823,1.0,0.009929092546984358,4.222922611110635,144.15059273030903,0.9999999999999999,0.00043868835341747374,4.989957289604396,233.9519484815628,1.0,-0.00022183555801214607,9.974594879643918,391.3802850548355,1.0,-0.001657867215093253,9.641835353879348,366.564212030454,1.0,0.0026924184492079484,10.194005054619657,409.6820610235924,0.9999999999999999
