experiment_name,train_size,n_participants,test_bal_acc_mean,test_bal_acc_std
perf_eye_gsr_ecg,1,36,0.4784547397047397,0.09895599999596172
perf_eye_gsr_ecg,2,36,0.5419982229704452,0.11118760727774671
perf_eye_gsr_ecg,3,35,0.5981803751803753,0.11474863999253801
perf_eye_gsr_ecg,5,34,0.6372840802987862,0.13733520447567216
perf_eye_gsr_ecg,7,33,0.7353439153439154,0.1464177613910282
perf_eye_gsr_ecg,9,32,0.7984548611111111,0.1475391350910428
perf_eye_gsr_ecg,11,31,0.8442652329749103,0.11015779806823606
