experiment_name,train_size,n_participants,test_bal_acc_mean,test_bal_acc_std
perf_eye_gsr_ecg,2,36,0.5224656285072952,0.09485313629199098
perf_eye_gsr_ecg,3,35,0.6029117364117363,0.11733918577469082
perf_eye_gsr_ecg,4,35,0.6105391156462586,0.14145072472999518
perf_eye_gsr_ecg,5,34,0.6275142001244942,0.140301855378753
perf_eye_gsr_ecg,7,33,0.7227657527657527,0.1457913219926976
perf_eye_gsr_ecg,9,32,0.7912673611111112,0.1486314332653097
perf_eye_gsr_ecg,11,31,0.8318996415770609,0.12602434396366521
