experiment_name,train_size,n_participants,test_bal_acc_mean,test_bal_acc_std
gsr,2,40,0.4177951388888889,0.11417448290659679
gsr,3,40,0.44224025974025966,0.1408440278621809
gsr,4,40,0.4462777777777777,0.15233064327735096
gsr,5,39,0.4672578347578347,0.15398434538031605
gsr,7,39,0.49029304029304027,0.1533611027090608
gsr,9,38,0.510263157894737,0.16358664229363387
gsr,11,37,0.49144144144144136,0.20869143952674857
