experiment_name,train_size,n_participants,test_bal_acc_mean,test_bal_acc_std
pose_perf_eye_gsr,2,39,0.5932255553088884,0.10196777869119959
pose_perf_eye_gsr,3,38,0.7213170236196552,0.1474282151391425
pose_perf_eye_gsr,4,38,0.7495718462823726,0.1421066193557681
pose_perf_eye_gsr,5,37,0.7557530745030745,0.14349586903559716
pose_perf_eye_gsr,7,36,0.7936948853615521,0.14367740629253148
pose_perf_eye_gsr,9,35,0.8288888888888889,0.13672694815393469
pose_perf_eye_gsr,11,32,0.8519097222222223,0.13738330463152174
