experiment_name,train_size,n_participants,test_bal_acc_mean,test_bal_acc_std
all_modalities,2,36,0.5896266233766233,0.09364027536976408
all_modalities,3,35,0.7356340273483131,0.1401098016990332
all_modalities,4,35,0.759885865457294,0.13418469425608348
all_modalities,5,34,0.7727270074696547,0.12876441623763685
all_modalities,7,33,0.8245117845117845,0.11986919731556495
all_modalities,9,32,0.867890625,0.11415891276843575
all_modalities,11,30,0.8746296296296295,0.12357259362296714
