source,participant,window_index,t_start_frame,t_end_frame,head_rotation_rad,head_tx,head_ty,head_scalex,head_scaley,head_motion_mag,blink_aperture,mouth_aperture,pupil_dx,pupil_dy,pupil_metric,interocular_mean
procrustes_participant,3101,0,0,3600,-0.0025076273819207837,-0.009854439997629047,-0.007185531237542803,1.032740078327078,1.0399559155291291,0.06233764827294695,0.010398429051258928,0.00014340722619399682,-0.0002541239892729693,-0.0018101211205200978,0.00283585142990043,0.05560559741961562
procrustes_participant,3101,1,1800,5400,-0.001996255506973944,-0.010473496253665882,-0.014118425989438528,1.040947654198808,1.0495552761316038,0.07555304219166226,0.010049946599460374,0.00016536420963905014,-0.0002812957244350186,-0.0017024860907943913,0.0027593586845790024,0.05500452492742133
procrustes_participant,3101,2,3600,7200,0.0024615674010118314,-0.01104986384183125,-0.019023576085035864,1.0472983528950122,1.0551409150264899,0.08276292280293411,0.010282985515173806,0.00013350782957759295,-0.0003066492542245185,-0.0017595519588047,0.0027899627110594583,0.054786184954227934
procrustes_participant,3101,3,5400,9000,0.003921041892391006,-0.008492143743239833,-0.01680254887098023,1.0396582591497205,1.0498905017280586,0.07086669644691816,0.010666386800495154,0.00011242559849100148,-0.00023108885039423572,-0.0018731784522174832,0.0028358817336200087,0.05530154055743927
procrustes_participant,3101,4,7200,10800,0.002536863921365042,-0.00715897576369592,-0.018096744277970304,1.035269593494419,1.048672194481868,0.06915426948663451,0.010302555700860068,0.0001440294226082047,-0.00013149356981200462,-0.00183789707973801,0.0028004065153398737,0.05539820339770521
procrustes_participant,3101,5,9000,12600,0.00010531070793628756,-0.010033291166493437,-0.02053717293814214,1.0447148604342607,1.0535631669884489,0.08014598915577359,0.010061094610082937,0.00017209322374770895,-0.00020336864717868103,-0.0017504347178166231,0.002760225705291064,0.05488935672587722
procrustes_participant,3101,6,10800,14400,0.002347290787553,-0.008946690143024953,-0.023394591675338753,1.0476145318553391,1.0540753184515157,0.08418565979495292,0.01011902908224861,0.0002992064855778652,-0.00020641814339326733,-0.0016487233893220624,0.0026977655452633973,0.05462895416374945
procrustes_participant,3101,7,12600,16200,0.0013322360998937505,-0.009366055420183702,-0.018909281952733375,1.0397717946446814,1.0476174932022981,0.07604122623319809,0.010274876421375593,0.00027975416464982584,-0.0002462024627262642,-0.0016407380312390126,0.0026879538653669112,0.05501673870467262
procrustes_participant,3101,8,14400,18000,0.0018457704470920058,-0.01106297161164376,-0.012851566626272484,1.0368049010295681,1.0435610333723575,0.06716478922808655,0.010488609199765348,0.00013528763363707358,-0.0003041896061943323,-0.0017577234713565015,0.0027313995657111657,0.05533054120697399
procrustes_participant,3101,9,16200,19800,0.0029751264247006325,-0.01063712741078494,-0.011134914723302178,1.0366124522329774,1.0438427473101066,0.06276157283293933,0.010655614705625949,8.982757788893403e-05,-0.00033570353711375746,-0.0018117169135160014,0.0027401044392507223,0.05537803735215716
procrustes_participant,3101,10,18000,21600,0.0036653365069836906,-0.010253869028414976,-0.009493014381164108,1.0354211089309735,1.0402658359077375,0.05733977317935675,0.010706579215422778,6.818735043339675e-05,-0.00035462615179395726,-0.001882319129777294,0.002795799954122563,0.055437302559141914
procrustes_participant,3101,11,19800,23400,-0.004006615306939919,-0.010581383718303796,-0.01159058471733861,1.0366420550641886,1.0412077634983117,0.062250480045443216,0.009947666943508675,0.00010064536444071392,-0.00029591503921214,-0.0017618632417950003,0.00274774498007748,0.055222449481814935
procrustes_participant,3101,12,21600,25200,-0.007005985693348646,-0.011728072916016675,-0.013614934792258657,1.0391606472618744,1.0419770149656362,0.06830246023917436,0.009725892258691558,0.0001104040195328194,-0.0002700564764455246,-0.0016906193136838178,0.002740253229984881,0.0550620600441778
procrustes_participant,3101,13,23400,27000,-0.00947924513438945,-0.015301255165053313,-0.010733745992300628,1.0425242405032324,1.0333184660361976,0.06677385702839209,0.010028604316324343,0.001007149170665597,-0.00021959438975796224,-0.0018184054344416876,0.002825205981591542,0.05489826401798625
procrustes_participant,3101,14,25200,28800,-0.004658827657563473,-0.014003921757637492,-0.011509449756481785,1.0408879197087906,1.0367153785088092,0.06658046840746139,0.01001747945476855,0.001006117909015318,-0.00022637067110054725,-0.0018689104803638291,0.002835753301038969,0.055105137944256505
procrustes_participant,3101,0,0,3600,-0.01605414594113185,-0.0014570646151115644,0.008680597188344399,0.9848101452466869,0.9941620569225411,0.05076102138717358,0.010518200070893323,0.0013549779970176586,-0.0005285397196212038,-0.001983749551405909,0.003410227641526134,0.05753344670304844
procrustes_participant,3101,1,1800,5400,-0.009734770110061212,-0.006815651314461811,0.005855672656064271,1.0034257694042572,0.9988615827895092,0.0381623079432366,0.010379579604610686,0.0004739789923370113,-0.00029691565729685304,-0.0016202335818486563,0.002721072132231343,0.05724198572562229
procrustes_participant,3101,2,3600,7200,-0.014613880489663498,-0.011312841397145631,0.009999028951709097,1.0039888758406534,1.0040439095383966,0.046787111687070324,0.01067097896905694,0.0006674738910414987,-0.00031488285309796824,-0.00171182430585694,0.0028053229191864256,0.05740012187336496
procrustes_participant,3101,3,5400,9000,-0.010426124556816884,-0.00802514790756716,0.010254593363157158,0.9971362667996022,1.0076142137087434,0.04596359482244839,0.010687052841133311,0.0004670810426213971,-0.0002723881396567443,-0.0017384651468583666,0.002786207429553175,0.05771859162596432
procrustes_participant,3101,4,7200,10800,-0.008380990015404556,-0.0047936001761857226,0.009717661378977683,0.995134982281141,1.0049237667068265,0.035669781294413366,0.010491541024194887,0.00032002285316354355,-0.0001909095040933597,-0.0016859073664910235,0.002705482628491451,0.05766394295804002
procrustes_participant,3101,5,9000,12600,-0.009257245766126306,-0.004406945476198061,0.010462815378772482,0.9920931086463576,0.9991921732983615,0.03251658306725457,0.010389026233194218,0.00019133136506362195,-0.0002447390048205971,-0.0015683437289500809,0.002626327214431006,0.05779180198673354
procrustes_participant,3101,6,10800,14400,-0.012753002493700656,-0.008746181693131821,0.013742500214173736,0.9939722161036292,0.9975418766587899,0.03525736397284292,0.01074699268740691,0.0001369671223134704,-0.0002819118358233949,-0.001629836873830068,0.0027024434897855126,0.0578457601241612
procrustes_participant,3101,7,12600,16200,-0.007189478985967783,-0.0060299975100678955,0.012830807907487295,0.9933369409617216,0.993017622956025,0.03302515508260625,0.010659327627912154,0.000681256964077793,-0.00023393795702380426,-0.0016954837557370355,0.0027287537026398703,0.05792112809520158
procrustes_participant,3101,8,14400,18000,0.004450752593495009,-0.0015952167395837447,0.005453671236361713,0.9930882324359858,0.9979212857205307,0.03142893971022392,0.010387834584673055,0.0006699985908470003,-0.00025066486681444547,-0.0017076601539099483,0.0027110167563859614,0.05788471921430692
procrustes_participant,3101,9,16200,19800,-0.00125865400343004,-0.0017211067788586915,0.004124700795664547,0.9934848054005899,0.9979109965476722,0.03851085932944526,0.009958228863280148,0.0003863888190041128,-0.0002585596518176981,-0.001638715795890112,0.0026816616068373604,0.05763024527320021
procrustes_participant,3101,10,18000,21600,-0.00495986932649507,-0.0038635594552606837,0.005919259711942821,0.9952908760694562,0.9892881183483727,0.04029531479691212,0.009929092546984406,0.00043868835341749683,-0.00022183555801217006,-0.0016578672150932988,0.0026924184492079974,0.057312129152773686
procrustes_participant,3101,11,19800,23400,-0.0016005095730228928,-0.004843828858057846,0.006919718645288875,0.9949455985294591,0.9858399481726213,0.03837171741602526,0.010156951342536509,0.00017916658110804553,-0.0002727920207775971,-0.0016738727766265993,0.0027159382907333434,0.057481146267968276
procrustes_participant,3101,12,21600,25200,-0.0017813506294330874,-0.0020128667957369267,0.005638079552503236,0.9953656694393472,0.9920131219521457,0.037096907169353696,0.010089558968180388,0.00019036089743895305,-0.000258915875255472,-0.001568584610775661,0.0026610189474161575,0.057610353091842335
procrustes_participant,3101,13,23400,27000,-0.0018817041505157484,0.0004310617429540203,-0.0004537714485660977,1.000706399860593,1.0032091834013073,0.03890289411200502,0.009578000763774174,0.00022353203787523921,-0.00012422787413117882,-0.001589354899665906,0.0026605571906803604,0.05710633497952235
procrustes_participant,3101,14,25200,28800,-0.0022707932004985324,0.0011947532410435684,0.004477870696606689,0.9937841262312642,0.9915203486796652,0.03853094072794069,0.009789112556828886,0.0001605606123865433,-2.3280922768819026e-05,-0.0016852873560923964,0.002681141138602717,0.05760941521110194
procrustes_participant,3101,0,0,3600,0.004516462250106422,0.00913053723461781,0.020065511082531504,0.9641303240459134,0.9614753704237402,0.06409736874427657,0.01011087402404043,0.00044221794812534745,-0.00020662595131932607,-0.0017435085423056506,0.002627953554644338,0.05957830374155023
procrustes_participant,3101,1,1800,5400,-0.004687011181647834,0.005825826880936216,0.016526329906938614,0.9746815748167437,0.9788850955366916,0.04790300219669091,0.00986635817976075,0.000793159057034216,-0.00023723558802428405,-0.0017027737844870336,0.0025909711809753606,0.058713392043836965
procrustes_participant,3101,2,3600,7200,0.0032786360753591114,0.009086837546914698,0.010063456155500935,0.9743151713742251,0.9834720335996993,0.04641880771101741,0.009899848744920642,0.0006449761029389366,-0.0001916983075709372,-0.0017352161035672,0.002625230861992841,0.05884857967017071
procrustes_participant,3101,3,5400,9000,0.008151329927221116,0.010868127807376228,0.0028602129268386657,0.9740661381991965,0.9875117220529711,0.047062694131679586,0.0095812924200447,0.0003056375680556322,-0.00020710472636083132,-0.001602615553384458,0.002559572015002948,0.0587088756029919
procrustes_participant,3101,4,7200,10800,0.003671478007389932,0.010477420467996915,0.0031404396502331495,0.9713246751609999,0.9821867840383576,0.05152801960893902,0.009530178733185238,0.000492331648936128,-0.00024333822724533066,-0.001569583725578252,0.0025359947927597413,0.05880830351373853
procrustes_participant,3101,5,9000,12600,0.008982141321772332,0.013733192655187097,0.004283376910363714,0.9627695181468401,0.9751488710300746,0.059024348508629206,0.009646822747582,0.0007282416642427001,-0.00020626410644099228,-0.0016253729417094163,0.002569076682571328,0.05943260757583073
procrustes_participant,3101,6,10800,14400,0.00816010839487224,0.016756899580163416,0.005654016848926991,0.9568061332933652,0.9677494331477969,0.06683780944790244,0.009379188568212085,0.0006647734984203003,-0.00017275026080725795,-0.0016454410410953956,0.002573022423487318,0.05958370592704802
procrustes_participant,3101,7,12600,16200,0.007199365969402695,0.015534313111532133,0.001715507929302265,0.9663478414440166,0.9708968607345421,0.058914730039575494,0.009318494207493035,0.0007769388021119549,-0.00014310244620406636,-0.0015366653764202311,0.002476257808944364,0.058868655466474594
procrustes_participant,3101,8,14400,18000,0.012879278250566045,0.023491050346420406,0.0032911555030137795,0.9584430011569071,0.9535993970982508,0.07807561078814725,0.009516789971242045,0.0016131451769490616,-5.458542469415551e-05,-0.0014920175919970482,0.0024803106317979355,0.059495711137768824
procrustes_participant,3101,9,16200,19800,0.009664107438710287,0.029606040521945338,0.012536596277066646,0.9418430413154086,0.9280121965507576,0.10421763458035965,0.009648477526882769,0.002742916985356705,-4.645948532130693e-05,-0.0015985763224190435,0.0025867317030244417,0.060564387231963335
procrustes_participant,3101,10,18000,21600,-0.0030867915307569594,0.023550306531729726,0.012309127594647412,0.9469772167013735,0.938928926733804,0.0936990758219003,0.00910679057107756,0.003798612720978049,-0.00015591398663749204,-0.001580441085023801,0.0025641351572041286,0.05993082101315173
procrustes_participant,3101,11,19800,23400,-0.006517812307534084,0.027439136117778384,0.010147903884254492,0.9416927578981824,0.9346177109933299,0.10359729505091937,0.008761314732143869,0.003358385667438078,-0.0001585271013500285,-0.0014824273121979063,0.002466491453558387,0.0598762415378252
procrustes_participant,3101,12,21600,25200,0.013664702957330485,0.027241756194617946,-0.0017974809996690686,0.9525130506581142,0.9539099298892357,0.09211941500078846,0.009029230909294328,0.0021954446895972855,-0.00014876086277465256,-0.0013771857614695022,0.002403489479528986,0.0592922817975117
procrustes_participant,3101,13,23400,27000,0.019916943744672896,0.021511958191902006,-0.003367591717612001,0.9538213172827641,0.9581141084262034,0.08694854985852143,0.009401041029927787,0.003092320308804586,-0.00018497835818168148,-0.001452462898947942,0.00247471569294156,0.059400273049235286
procrustes_participant,3101,14,25200,28800,0.008090986531279794,0.02299795398192182,0.008639442394432335,0.9340110273707197,0.9361634660486464,0.10496498213273668,0.009836998968191119,0.004566824788409061,-0.00017666501751371547,-0.001644037035193992,0.0025411120348545306,0.060668931040876596
procrustes_participant,3102,0,0,3600,-0.007130435906861153,0.03691657992508027,0.12117050268287462,0.8950013693651444,0.8353627858499,0.23376444715495842,0.00786910529781439,0.0010292231296971253,-0.0003255800569642352,-0.0011891692824359825,0.0022662830588844767,0.06325839258747963
procrustes_participant,3102,1,1800,5400,-0.002000620138984928,0.03851466065769057,0.11674771172675633,0.9061628990524918,0.8464578674357938,0.21929986129882087,0.007492095772720628,0.0010044479837112484,-0.0002770208372874352,-0.0012042886724577004,0.0023138715338881792,0.06240111479550224
procrustes_participant,3102,2,3600,7200,0.005112379473366378,0.04052706626669738,0.113382256940779,0.9116535357244843,0.8515062817747008,0.21203349409438987,0.007659753517176091,0.0006114728434767552,-0.00026099283720143305,-0.0013672158883309654,0.002412564147644371,0.062021608506689065
procrustes_participant,3102,3,5400,9000,0.0020088683050057065,0.03330343910302328,0.11163283836914473,0.9189991516902019,0.8545913682344894,0.20469426009393488,0.007756948199770859,0.00043168563035857394,-0.0002378851194570342,-0.0013552157127425257,0.0023877089801646904,0.06159245930958596
procrustes_participant,3102,4,7200,10800,0.005119166226743107,0.030136586518574853,0.10955460367488504,0.9191509655204626,0.8454089872176683,0.20966953798971688,0.007518117211802695,0.0001416332802215669,-0.00020370872242360456,-0.0013569493767871933,0.0023469584494641357,0.061636469392367735
procrustes_participant,3102,5,9000,12600,0.00794253979208358,0.030685012286171064,0.10974002903620926,0.9148403970191941,0.8405061609357096,0.2149843743790931,0.00740074232027393,0.00019573003724978098,-0.00025899997370318714,-0.001417677871038137,0.0023811262642900507,0.06182662423523948
procrustes_participant,3102,6,10800,14400,-0.0028101544602649377,0.025403147549527706,0.11195944862321296,0.9096588792367091,0.8449854491323274,0.21424332295307258,0.007341624349743506,0.0006514794978570976,-0.00035469050062165964,-0.0013533437460495348,0.002353529496941959,0.06210320094038538
procrustes_participant,3102,7,12600,16200,-0.01022734451955825,0.021776079912189345,0.11307078083902904,0.9091558698497859,0.8515284564139192,0.20974123045067303,0.007753424890534851,0.0007231757140110603,-0.0003723504400764985,-0.0013099324837377443,0.002316498027390793,0.06228137058203602
procrustes_participant,3102,8,14400,18000,-0.002070408739508385,0.023378852469257996,0.1115198603889542,0.9138724739850431,0.8580531726314838,0.20252707415025017,0.008054733582584517,0.0010022679527450123,-0.00031503287313501067,-0.0013556667001722077,0.0023269898659268704,0.06197762281889391
procrustes_participant,3102,9,16200,19800,0.013183993075711583,0.028894431257444078,0.10711416401547448,0.9150580207463253,0.855380347970691,0.20259708459415748,0.007580325259291464,0.0008842105792986441,-0.00025884454961012964,-0.0014225372804442967,0.002359957221313788,0.0615966742114247
procrustes_participant,3102,10,18000,21600,0.013105278502133907,0.03190759294276848,0.10713409535587635,0.9164644972756363,0.8550660753951022,0.20246535292797682,0.0076264421327856685,0.0002559283690460347,-0.00028748043125645503,-0.0014799969842647037,0.0023985502987615764,0.06150504668793675
procrustes_participant,3102,11,19800,23400,-0.011437951898358799,0.02669436659268417,0.11203144219855342,0.9233268274201042,0.8617952219268549,0.1968782483466351,0.007885880369649717,0.0002837818092432943,-0.0002987685459639066,-0.0013688500294649398,0.002363523584459166,0.06129446640440097
procrustes_participant,3102,12,21600,25200,-0.03847020776468022,0.021042786767295697,0.11640986592570536,0.9215989915705335,0.8559239494286511,0.2037573289511776,0.00775408186209911,0.0007616691205304003,-0.0003288199642576791,-0.0012254125474345547,0.0023178619812635965,0.06156518220409957
procrustes_participant,3102,13,23400,27000,-0.02528304871665987,0.02378788498374847,0.11159518646699582,0.9199399633776321,0.8569611730633007,0.20135865232186118,0.00757933757205307,0.0011172913028538191,-0.0003806355559290197,-0.0013286704631928596,0.0023657233957644287,0.06153597508612069
procrustes_participant,3102,14,25200,28800,0.0028665072346847264,0.028724336782779407,0.10606100926027323,0.9264286744665183,0.8653027090855333,0.1900625642015136,0.007994741324583414,0.000813208598251727,-0.0003468525067433896,-0.0014320717068809319,0.002408732149894814,0.06098397234519124
procrustes_participant,3102,0,0,3600,0.0017150267981678427,-0.02808492788867399,-0.14284585964134203,1.0931715124635801,1.2078877169118971,0.2730880774820126,0.00953950197052248,0.00034902162659029005,-0.00019802440431527366,-0.0011995204190332121,0.002390341018598439,0.051591366216456165
procrustes_participant,3102,1,1800,5400,0.001889924511005285,-0.03119501892258232,-0.14383980747535258,1.0989789894605102,1.2045011298591586,0.27253479581719287,0.009913850006951292,0.00025731480905482517,-0.00021085602942705814,-0.0011376808100302346,0.0023572069318929614,0.05143392076733153
procrustes_participant,3102,2,3600,7200,0.022902696990898506,-0.01527043808844835,-0.16143573087137086,1.0933350237280854,1.2205214444414216,0.2927764140850435,0.009276331414019564,0.0002483636753162536,-0.00010789925505492052,-0.0009017272892367934,0.002218280254330844,0.05164485313270649
procrustes_participant,3102,3,5400,9000,0.025009805072144016,-0.013560544516640603,-0.15879685931477935,1.0881953822878698,1.209008400871836,0.28007382409678344,0.00993744490107229,0.00023329388607078242,-0.0001423980311984677,-0.0009664526924512088,0.002234784322866113,0.05180254265686895
procrustes_participant,3102,4,7200,10800,0.022990859062098266,-0.019689858551030115,-0.15795789348639047,1.0960377239265446,1.2136830750375818,0.28529121014875264,0.009974693025968796,0.00027601088466549384,-0.00019750618342075752,-0.0010821805627869681,0.002300660489185397,0.051501001263334005
procrustes_participant,3102,5,9000,12600,0.021102596280459712,-0.024870347963380467,-0.1612017400192752,1.099348865303199,1.222433053544017,0.2953824035583687,0.009583607355769934,0.0003204620467930889,-0.00018362620156323322,-0.0011697402456440425,0.002344989668510442,0.05117491667086692
procrustes_participant,3102,6,10800,14400,0.027017085590896307,-0.017520715372816235,-0.16547211176208504,1.0929857346537704,1.2135370130790077,0.2898891887137313,0.009394435034696412,0.00029120853247094477,-0.00015143031246765869,-0.001081542585745253,0.002270468663870996,0.05144248097349628
procrustes_participant,3102,7,12600,16200,0.02897317208005142,-0.008070534493879783,-0.16573485439281452,1.0775739484711346,1.1926272371902642,0.2697415568398466,0.009366283186055643,0.0002900408197814132,-0.00015184031900576105,-0.0008800435384930886,0.0022103747691371123,0.052299607711323956
procrustes_participant,3102,8,14400,18000,0.007353079578546282,-0.02218509576974414,-0.15734712715336982,1.0766082148478613,1.1882614218747742,0.26193070231543736,0.009159920674264814,0.0003845811941882931,-0.00017335808725388552,-0.0008282477674447539,0.0022083871510391725,0.0522666010864993
procrustes_participant,3102,9,16200,19800,0.0065779039603280215,-0.026926792215214705,-0.1595638842860636,1.0887918120206521,1.2033500410697147,0.27783109803595724,0.009279168776122068,0.0005014264736481832,-0.00010520708911739723,-0.0010168817583853346,0.0022230414383688757,0.051593548238115974
procrustes_participant,3102,10,18000,21600,-0.002025257143045709,-0.036224322932593964,-0.16183940783931458,1.0956905064869031,1.2100214690642923,0.28729909177984786,0.009226748073253755,0.00048011191298530457,-5.663708788359972e-05,-0.0011283340556782562,0.002250036348556037,0.05124775339849428
procrustes_participant,3102,11,19800,23400,-0.026841584140839907,-0.0520881459903942,-0.1546632068102114,1.0964702007481033,1.203851226803438,0.28189878395575657,0.00876747057729689,0.00041642684211891487,-0.00015979587769895763,-0.001071220111343781,0.002281714178471012,0.051166533050777584
procrustes_participant,3102,12,21600,25200,-0.046480093249221824,-0.06372098383882542,-0.1426626472220444,1.0988194053122597,1.185109040206218,0.2658074157690921,0.009149266562066865,0.0004927875515659923,-0.0002865133903816239,-0.0010854276417419466,0.002410365756698287,0.05111269513394363
procrustes_participant,3102,13,23400,27000,-0.038865882942137865,-0.06184124272935937,-0.14751595270054035,1.1055273680475426,1.1938443484448122,0.27642617994354435,0.009421773769657681,0.0004789778831033671,-0.0002278575688314906,-0.001111668999657588,0.002367586532760329,0.05079368553094658
procrustes_participant,3102,14,25200,28800,-0.023126028102592594,-0.05858624665585285,-0.1506845110795069,1.1092990959927886,1.1962895847886768,0.2781105566425314,0.010306870350553896,0.0004217162907916175,-0.00032433165448024677,-0.0012556291703277286,0.0024156736192015114,0.05062920454870558
procrustes_participant,3103,0,0,3600,-0.023010323843066602,-0.0024193442581277934,0.009779333663402157,0.9886324846075427,1.0981618731516123,0.16421037822351345,0.007123536316355046,,-2.6478705971440845e-05,-0.00022646814012511018,0.002408534593525109,
procrustes_participant,3103,1,1800,5400,0.011886516976348458,0.014880140099838412,-0.0075707385252967545,0.9863136817725506,1.0108357852171874,0.06443416950414711,0.007524235296871055,0.0004493643957671018,-0.00012482663021583902,-0.0006839950230748608,0.0019116746285589815,0.05168241705206648
procrustes_participant,3103,2,3600,7200,0.0016236323488661843,0.004480469939222021,0.0017585871956280418,0.9915375226794494,0.9949468486707362,0.04990391009790148,0.00816483293449877,0.0004283673014278249,-0.00014560069295974193,-0.0008378025595334611,0.0019318545624868795,0.05138654002768201
procrustes_participant,3103,3,5400,9000,-0.024567676391767317,-0.012073779889961988,0.007861606121176482,0.9947237187100766,1.0027622145374353,0.045524443037563124,0.00823945160125698,0.00036466157502752853,-0.0001911012139419255,-0.0009186675278897888,0.001970545716858867,0.05122348374911108
procrustes_participant,3103,4,7200,10800,-0.015933701839981645,-0.004429109676150058,0.000810001590254277,0.9934342189850849,1.008729672905119,0.05080341338291687,0.007821604454581054,0.0003309073344336197,-0.00022013802823786795,-0.0008176596016211344,0.0019674809797880356,0.05149378780163924
procrustes_participant,3103,5,9000,12600,-0.015233998828587048,-0.003006376665610472,-0.0009481107108782133,0.9967473392823477,1.0132097500315784,0.052424709191934794,0.007718982018405042,0.0002897895403938621,-0.00022436817168949296,-0.0008135632391374827,0.0020037493711805385,0.051525172723172995
