source,participant,window_index,t_start_frame,t_end_frame,head_rotation_rad,blink_aperture,mouth_aperture,pupil_dx,pupil_dy,pupil_metric,center_face_magnitude,center_face_x,center_face_y,interocular_mean
original,3101,0,0,3600,0.06060752833239341,0.010043091219800212,0.00013595566772260027,-0.0002398081197275963,-0.0017518691286379539,0.002743966913737245,0.012798995940417725,0.006749910788842735,0.01017054776848787,0.05560559741961562
original,3101,1,1800,5400,0.0612166120382832,0.00961542530983612,0.00015547934755041294,-0.000269863555510883,-0.0016331455547161033,0.0026471055880681613,0.013628439426509785,0.006776336712630076,0.01093123014658064,0.05500452492742133
original,3101,2,3600,7200,0.07121905800445043,0.009770792607971939,0.00012586427840923363,-0.0002974360834279134,-0.0016753354808292187,0.0026605980284201713,0.012327329361349252,0.006799903105251558,0.009236704721811083,0.054786184954227934
original,3101,3,5400,9000,0.07667486133813024,0.010175065553406758,0.00010690372966860515,-0.00022779566722403867,-0.0017899520457549422,0.002719205827291543,0.008840023497297018,0.005012291655055376,0.006426080940363881,0.05530154055743927
original,3101,4,7200,10800,0.07039191089047075,0.009851109722350652,0.00013612482325211188,-0.00013122679693643792,-0.0017596067067867924,0.002692341502096422,0.011055134122975117,0.006652781502320424,0.007879342471613964,0.05539820339770521
original,3101,5,9000,12600,0.06244331942298844,0.009583231156811334,0.0001599407048135024,-0.0001918518897653116,-0.0016697100951526271,0.002637453006899188,0.014217306103946083,0.009527965129782741,0.009316446505488423,0.05488935672587722
original,3101,6,10800,14400,0.062062364924030826,0.009637112679412885,0.0002786052852663064,-0.00019835563960126306,-0.001572262286013072,0.0025743319208786195,0.014936619172376469,0.009398080253978864,0.01039148180601066,0.05462895416374945
original,3101,7,12600,16200,0.06443967933768659,0.009840143439507851,0.00026323707463322325,-0.00023890483957154964,-0.0015737041932169513,0.0025819604583341618,0.012888231332210304,0.00684103414454506,0.010113834299686594,0.05501673870467262
original,3101,8,14400,18000,0.070104086903381,0.010072097232675567,0.0001292099953690754,-0.0002953946784442022,-0.001689721832052981,0.0026311037377902175,0.009868882995682022,0.005350438272970718,0.007782825566157475,0.05533054120697399
original,3101,9,16200,19800,0.0744290716474036,0.010225951408872133,8.578105200019106e-05,-0.00032765911136615187,-0.0017391498577013146,0.00263828601664013,0.008957887563995341,0.004916001021457161,0.007102680020797906,0.05537803735215716
original,3101,10,18000,21600,0.07555187001309403,0.010299819588543353,6.56030636063327e-05,-0.00035002344687666694,-0.0018101573941273247,0.0026958502718478577,0.00751748836805716,0.0036504084186169132,0.005968850911660599,0.055437302559141914
original,3101,11,19800,23400,0.05886518335730828,0.009583968992000008,9.606857940097872e-05,-0.0002813332830742737,-0.001698922155977454,0.002648563641552917,0.009009123447904943,0.004748458336583645,0.006736116613118783,0.055222449481814935
original,3101,12,21600,25200,0.05335888314898673,0.009376679138397535,0.00010502214040880778,-0.000248500846410546,-0.0016339067671479787,0.002640248387278925,0.010882327488786732,0.005838779428056089,0.008201167562644053,0.0550620600441778
original,3101,13,23400,27000,0.046689130136488996,0.009735632369416594,0.0009801381181034018,-0.00019258168760734993,-0.0017691099309354642,0.002726435356203487,0.011253493650083565,0.00673235350129002,0.007862044348399764,0.05489826401798625
original,3101,14,25200,28800,0.05766473060946028,0.009694247749417744,0.0009789797838424966,-0.00020985330215559587,-0.0018075653331013565,0.0027312012835118246,0.010989464479687497,0.0077393078068758074,0.007047093247266044,0.055105137944256505
original,3101,0,0,3600,0.057179347257526415,0.010417991057227691,0.0013711112994480835,1.7155130245146852e-05,-0.0018918841282904659,0.0033401339006394596,0.014000691602288095,0.008830763438398868,0.009609267887039901,0.05753344670304844
original,3101,1,1800,5400,0.052050870194896674,0.010423738089198012,0.0004727672246180474,-0.0002783622368653945,-0.0016298293176307645,0.0027190401185635924,0.010783552777839434,0.006397081854785087,0.007479146382487104,0.05724198572562229
original,3101,2,3600,7200,0.04717413024685998,0.010650044017080317,0.0006642461187847691,-0.00028929673834054856,-0.001712429618461287,0.002796053358702982,0.012504951650901555,0.006284588075242274,0.00943446637367794,0.05740012187336496
original,3101,3,5400,9000,0.0524964834862017,0.01063410842507289,0.0004625038738262872,-0.0002549985768684356,-0.0017334681463044568,0.002784506903051156,0.014785821811972437,0.007275860019967795,0.01165186887161738,0.05771859162596432
original,3101,4,7200,10800,0.054208305807931664,0.010468327989342422,0.0003184001171861089,-0.00017691642174632636,-0.001684027890612972,0.0027097200870093443,0.012773678445733426,0.006434450052326558,0.010273160853035404,0.05766394295804002
